Amper1,Amper2,Adjacent
"('เมืองสระแก้ว', 'สระแก้ว')","('วังน้ำเย็น', 'สระแก้ว')",1
"('เมืองสระแก้ว', 'สระแก้ว')","('วัฒนานคร', 'สระแก้ว')",1
"('เมืองสระแก้ว', 'สระแก้ว')","('เขาฉกรรจ์', 'สระแก้ว')",1
"('เมืองสระแก้ว', 'สระแก้ว')","('กบินทร์บุรี', 'ปราจีนบุรี')",1
"('เมืองสระแก้ว', 'สระแก้ว')","('นาดี', 'ปราจีนบุรี')",1
"('เมืองสระแก้ว', 'สระแก้ว')","('ครบุรี', 'นครราชสีมา')",1
"('คลองหาด', 'สระแก้ว')","('วังน้ำเย็น', 'สระแก้ว')",1
"('คลองหาด', 'สระแก้ว')","('วัฒนานคร', 'สระแก้ว')",1
"('คลองหาด', 'สระแก้ว')","('อรัญประเทศ', 'สระแก้ว')",1
"('คลองหาด', 'สระแก้ว')","('เขาฉกรรจ์', 'สระแก้ว')",1
"('คลองหาด', 'สระแก้ว')","('วังสมบูรณ์', 'สระแก้ว')",1
"('คลองหาด', 'สระแก้ว')","('สอยดาว', 'จันทบุรี')",1
"('ตาพระยา', 'สระแก้ว')","('วัฒนานคร', 'สระแก้ว')",1
"('ตาพระยา', 'สระแก้ว')","('โคกสูง', 'สระแก้ว')",1
"('ตาพระยา', 'สระแก้ว')","('เสิงสาง', 'นครราชสีมา')",1
"('ตาพระยา', 'สระแก้ว')","('ละหานทราย', 'บุรีรัมย์')",1
"('ตาพระยา', 'สระแก้ว')","('โนนดินแดง', 'บุรีรัมย์')",1
"('วังน้ำเย็น', 'สระแก้ว')","('เมืองสระแก้ว', 'สระแก้ว')",1
"('วังน้ำเย็น', 'สระแก้ว')","('คลองหาด', 'สระแก้ว')",1
"('วังน้ำเย็น', 'สระแก้ว')","('วัฒนานคร', 'สระแก้ว')",1
"('วังน้ำเย็น', 'สระแก้ว')","('เขาฉกรรจ์', 'สระแก้ว')",1
"('วังน้ำเย็น', 'สระแก้ว')","('วังสมบูรณ์', 'สระแก้ว')",1
"('วังน้ำเย็น', 'สระแก้ว')","('ท่าตะเกียบ', 'ฉะเชิงเทรา')",1
"('วัฒนานคร', 'สระแก้ว')","('เมืองสระแก้ว', 'สระแก้ว')",1
"('วัฒนานคร', 'สระแก้ว')","('คลองหาด', 'สระแก้ว')",1
"('วัฒนานคร', 'สระแก้ว')","('ตาพระยา', 'สระแก้ว')",1
"('วัฒนานคร', 'สระแก้ว')","('วังน้ำเย็น', 'สระแก้ว')",1
"('วัฒนานคร', 'สระแก้ว')","('อรัญประเทศ', 'สระแก้ว')",1
"('วัฒนานคร', 'สระแก้ว')","('เขาฉกรรจ์', 'สระแก้ว')",1
"('วัฒนานคร', 'สระแก้ว')","('โคกสูง', 'สระแก้ว')",1
"('วัฒนานคร', 'สระแก้ว')","('ครบุรี', 'นครราชสีมา')",1
"('วัฒนานคร', 'สระแก้ว')","('เสิงสาง', 'นครราชสีมา')",1
"('วัฒนานคร', 'สระแก้ว')","('โนนดินแดง', 'บุรีรัมย์')",1
"('อรัญประเทศ', 'สระแก้ว')","('คลองหาด', 'สระแก้ว')",1
"('อรัญประเทศ', 'สระแก้ว')","('วัฒนานคร', 'สระแก้ว')",1
"('อรัญประเทศ', 'สระแก้ว')","('โคกสูง', 'สระแก้ว')",1
"('เขาฉกรรจ์', 'สระแก้ว')","('เมืองสระแก้ว', 'สระแก้ว')",1
"('เขาฉกรรจ์', 'สระแก้ว')","('คลองหาด', 'สระแก้ว')",1
"('เขาฉกรรจ์', 'สระแก้ว')","('วังน้ำเย็น', 'สระแก้ว')",1
"('เขาฉกรรจ์', 'สระแก้ว')","('วัฒนานคร', 'สระแก้ว')",1
"('เขาฉกรรจ์', 'สระแก้ว')","('สนามชัยเขต', 'ฉะเชิงเทรา')",1
"('เขาฉกรรจ์', 'สระแก้ว')","('ท่าตะเกียบ', 'ฉะเชิงเทรา')",1
"('เขาฉกรรจ์', 'สระแก้ว')","('กบินทร์บุรี', 'ปราจีนบุรี')",1
"('โคกสูง', 'สระแก้ว')","('ตาพระยา', 'สระแก้ว')",1
"('โคกสูง', 'สระแก้ว')","('วัฒนานคร', 'สระแก้ว')",1
"('โคกสูง', 'สระแก้ว')","('อรัญประเทศ', 'สระแก้ว')",1
"('วังสมบูรณ์', 'สระแก้ว')","('คลองหาด', 'สระแก้ว')",1
"('วังสมบูรณ์', 'สระแก้ว')","('วังน้ำเย็น', 'สระแก้ว')",1
"('วังสมบูรณ์', 'สระแก้ว')","('แก่งหางแมว', 'จันทบุรี')",1
"('วังสมบูรณ์', 'สระแก้ว')","('ท่าตะเกียบ', 'ฉะเชิงเทรา')",1
"('วังสมบูรณ์', 'สระแก้ว')","('สอยดาว', 'จันทบุรี')",1
