Amper1,Amper2,Adjacent
"('เมืองนครราชสีมา', 'นครราชสีมา')","('ปักธงชัย', 'นครราชสีมา')",1
"('เมืองนครราชสีมา', 'นครราชสีมา')","('สูงเนิน', 'นครราชสีมา')",1
"('เมืองนครราชสีมา', 'นครราชสีมา')","('โชคชัย', 'นครราชสีมา')",1
"('เมืองนครราชสีมา', 'นครราชสีมา')","('โนนไทย', 'นครราชสีมา')",1
"('เมืองนครราชสีมา', 'นครราชสีมา')","('โนนสูง', 'นครราชสีมา')",1
"('เมืองนครราชสีมา', 'นครราชสีมา')","('ขามทะเลสอ', 'นครราชสีมา')",1
"('เมืองนครราชสีมา', 'นครราชสีมา')","('เฉลิมพระเกียรติ', 'นครราชสีมา')",1
"('ครบุรี', 'นครราชสีมา')","('เมืองสระแก้ว', 'สระแก้ว')",1
"('ครบุรี', 'นครราชสีมา')","('วัฒนานคร', 'สระแก้ว')",1
"('ครบุรี', 'นครราชสีมา')","('นาดี', 'ปราจีนบุรี')",1
"('ครบุรี', 'นครราชสีมา')","('ปักธงชัย', 'นครราชสีมา')",1
"('ครบุรี', 'นครราชสีมา')","('เสิงสาง', 'นครราชสีมา')",1
"('ครบุรี', 'นครราชสีมา')","('โชคชัย', 'นครราชสีมา')",1
"('ครบุรี', 'นครราชสีมา')","('หนองบุญมาก', 'นครราชสีมา')",1
"('ครบุรี', 'นครราชสีมา')","('วังน้ำเขียว', 'นครราชสีมา')",1
"('ครบุรี', 'นครราชสีมา')","('หนองกี่', 'บุรีรัมย์')",1
"('ปักธงชัย', 'นครราชสีมา')","('เมืองนครราชสีมา', 'นครราชสีมา')",1
"('ปักธงชัย', 'นครราชสีมา')","('ครบุรี', 'นครราชสีมา')",1
"('ปักธงชัย', 'นครราชสีมา')","('สูงเนิน', 'นครราชสีมา')",1
"('ปักธงชัย', 'นครราชสีมา')","('โชคชัย', 'นครราชสีมา')",1
"('ปักธงชัย', 'นครราชสีมา')","('สีคิ้ว', 'นครราชสีมา')",1
"('ปักธงชัย', 'นครราชสีมา')","('ปากช่อง', 'นครราชสีมา')",1
"('ปักธงชัย', 'นครราชสีมา')","('วังน้ำเขียว', 'นครราชสีมา')",1
"('พิมาย', 'นครราชสีมา')","('ห้วยแถลง', 'นครราชสีมา')",1
"('พิมาย', 'นครราชสีมา')","('ชุมพวง', 'นครราชสีมา')",1
"('พิมาย', 'นครราชสีมา')","('คง', 'นครราชสีมา')",1
"('พิมาย', 'นครราชสีมา')","('จักราช', 'นครราชสีมา')",1
"('พิมาย', 'นครราชสีมา')","('โนนสูง', 'นครราชสีมา')",1
"('พิมาย', 'นครราชสีมา')","('ประทาย', 'นครราชสีมา')",1
"('พิมาย', 'นครราชสีมา')","('โนนแดง', 'นครราชสีมา')",1
"('ห้วยแถลง', 'นครราชสีมา')","('พิมาย', 'นครราชสีมา')",1
"('ห้วยแถลง', 'นครราชสีมา')","('ชุมพวง', 'นครราชสีมา')",1
"('ห้วยแถลง', 'นครราชสีมา')","('ลำปลายมาศ', 'บุรีรัมย์')",1
"('ห้วยแถลง', 'นครราชสีมา')","('จักราช', 'นครราชสีมา')",1
"('ห้วยแถลง', 'นครราชสีมา')","('หนองหงส์', 'บุรีรัมย์')",1
"('ชุมพวง', 'นครราชสีมา')","('พิมาย', 'นครราชสีมา')",1
"('ชุมพวง', 'นครราชสีมา')","('ห้วยแถลง', 'นครราชสีมา')",1
"('ชุมพวง', 'นครราชสีมา')","('ลำปลายมาศ', 'บุรีรัมย์')",1
"('ชุมพวง', 'นครราชสีมา')","('ประทาย', 'นครราชสีมา')",1
"('ชุมพวง', 'นครราชสีมา')","('เมืองยาง', 'นครราชสีมา')",1
"('ชุมพวง', 'นครราชสีมา')","('ลำทะเมนชัย', 'นครราชสีมา')",1
"('สูงเนิน', 'นครราชสีมา')","('เมืองนครราชสีมา', 'นครราชสีมา')",1
"('สูงเนิน', 'นครราชสีมา')","('ปักธงชัย', 'นครราชสีมา')",1
"('สูงเนิน', 'นครราชสีมา')","('ด่านขุนทด', 'นครราชสีมา')",1
"('สูงเนิน', 'นครราชสีมา')","('ขามทะเลสอ', 'นครราชสีมา')",1
"('สูงเนิน', 'นครราชสีมา')","('สีคิ้ว', 'นครราชสีมา')",1
"('สูงเนิน', 'นครราชสีมา')","('ปากช่อง', 'นครราชสีมา')",1
"('เสิงสาง', 'นครราชสีมา')","('ตาพระยา', 'สระแก้ว')",1
"('เสิงสาง', 'นครราชสีมา')","('วัฒนานคร', 'สระแก้ว')",1
"('เสิงสาง', 'นครราชสีมา')","('ครบุรี', 'นครราชสีมา')",1
"('เสิงสาง', 'นครราชสีมา')","('นางรอง', 'บุรีรัมย์')",1
"('เสิงสาง', 'นครราชสีมา')","('หนองบุญมาก', 'นครราชสีมา')",1
"('เสิงสาง', 'นครราชสีมา')","('หนองกี่', 'บุรีรัมย์')",1
"('เสิงสาง', 'นครราชสีมา')","('ปะคำ', 'บุรีรัมย์')",1
"('เสิงสาง', 'นครราชสีมา')","('โนนสุวรรณ', 'บุรีรัมย์')",1
"('เสิงสาง', 'นครราชสีมา')","('โนนดินแดง', 'บุรีรัมย์')",1
"('คง', 'นครราชสีมา')","('พิมาย', 'นครราชสีมา')",1
"('คง', 'นครราชสีมา')","('บ้านเหลื่อม', 'นครราชสีมา')",1
"('คง', 'นครราชสีมา')","('โนนสูง', 'นครราชสีมา')",1
"('คง', 'นครราชสีมา')","('ขามสะแกแสง', 'นครราชสีมา')",1
"('คง', 'นครราชสีมา')","('บัวใหญ่', 'นครราชสีมา')",1
"('คง', 'นครราชสีมา')","('โนนแดง', 'นครราชสีมา')",1
