Amper1,Amper2,Adjacent
"('สำโรงทาบ', 'สุรินทร์')","('ศรีณรงค์', 'สุรินทร์')",1
"('สำโรงทาบ', 'สุรินทร์')","('โนนนารายณ์', 'สุรินทร์')",1
"('สำโรงทาบ', 'สุรินทร์')","('เมืองจันทร์', 'ศรีสะเกษ')",1
"('สำโรงทาบ', 'สุรินทร์')","('สนม', 'สุรินทร์')",1
"('สำโรงทาบ', 'สุรินทร์')","('ศีขรภูมิ', 'สุรินทร์')",1
"('สำโรงทาบ', 'สุรินทร์')","('ปรางค์กู่', 'ศรีสะเกษ')",1
"('สำโรงทาบ', 'สุรินทร์')","('ห้วยทับทัน', 'ศรีสะเกษ')",1
"('บัวเชด', 'สุรินทร์')","('ภูสิงห์', 'ศรีสะเกษ')",1
"('บัวเชด', 'สุรินทร์')","('สังขะ', 'สุรินทร์')",1
"('บัวเชด', 'สุรินทร์')","('ขุขันธ์', 'ศรีสะเกษ')",1
"('พนมดงรัก', 'สุรินทร์')","('บ้านกรวด', 'บุรีรัมย์')",1
"('พนมดงรัก', 'สุรินทร์')","('ประโคนชัย', 'บุรีรัมย์')",1
"('พนมดงรัก', 'สุรินทร์')","('ปราสาท', 'สุรินทร์')",1
"('พนมดงรัก', 'สุรินทร์')","('กาบเชิง', 'สุรินทร์')",1
"('ศรีณรงค์', 'สุรินทร์')","('สำโรงทาบ', 'สุรินทร์')",1
"('ศรีณรงค์', 'สุรินทร์')","('ศีขรภูมิ', 'สุรินทร์')",1
"('ศรีณรงค์', 'สุรินทร์')","('สังขะ', 'สุรินทร์')",1
"('ศรีณรงค์', 'สุรินทร์')","('ลำดวน', 'สุรินทร์')",1
"('ศรีณรงค์', 'สุรินทร์')","('ขุขันธ์', 'ศรีสะเกษ')",1
"('ศรีณรงค์', 'สุรินทร์')","('ปรางค์กู่', 'ศรีสะเกษ')",1
"('เขวาสินรินทร์', 'สุรินทร์')","('เมืองสุรินทร์', 'สุรินทร์')",1
"('เขวาสินรินทร์', 'สุรินทร์')","('จอมพระ', 'สุรินทร์')",1
"('เขวาสินรินทร์', 'สุรินทร์')","('ศีขรภูมิ', 'สุรินทร์')",1
"('โนนนารายณ์', 'สุรินทร์')","('สำโรงทาบ', 'สุรินทร์')",1
"('โนนนารายณ์', 'สุรินทร์')","('เมืองจันทร์', 'ศรีสะเกษ')",1
"('โนนนารายณ์', 'สุรินทร์')","('โพธิ์ศรีสุวรรณ', 'ศรีสะเกษ')",1
"('โนนนารายณ์', 'สุรินทร์')","('รัตนบุรี', 'สุรินทร์')",1
"('โนนนารายณ์', 'สุรินทร์')","('สนม', 'สุรินทร์')",1
"('โนนนารายณ์', 'สุรินทร์')","('ศีขรภูมิ', 'สุรินทร์')",1
"('โนนนารายณ์', 'สุรินทร์')","('ห้วยทับทัน', 'ศรีสะเกษ')",1
"('เมืองสุรินทร์', 'สุรินทร์')","('สตึก', 'บุรีรัมย์')",1
"('เมืองสุรินทร์', 'สุรินทร์')","('เขวาสินรินทร์', 'สุรินทร์')",1
"('เมืองสุรินทร์', 'สุรินทร์')","('กระสัง', 'บุรีรัมย์')",1
"('เมืองสุรินทร์', 'สุรินทร์')","('พลับพลาชัย', 'บุรีรัมย์')",1
"('เมืองสุรินทร์', 'สุรินทร์')","('จอมพระ', 'สุรินทร์')",1
"('เมืองสุรินทร์', 'สุรินทร์')","('ปราสาท', 'สุรินทร์')",1
"('เมืองสุรินทร์', 'สุรินทร์')","('ศีขรภูมิ', 'สุรินทร์')",1
"('เมืองสุรินทร์', 'สุรินทร์')","('ลำดวน', 'สุรินทร์')",1
"('ชุมพลบุรี', 'สุรินทร์')","('พุทไธสง', 'บุรีรัมย์')",1
"('ชุมพลบุรี', 'สุรินทร์')","('สตึก', 'บุรีรัมย์')",1
"('ชุมพลบุรี', 'สุรินทร์')","('คูเมือง', 'บุรีรัมย์')",1
"('ชุมพลบุรี', 'สุรินทร์')","('แคนดง', 'บุรีรัมย์')",1
"('ชุมพลบุรี', 'สุรินทร์')","('ท่าตูม', 'สุรินทร์')",1
"('ชุมพลบุรี', 'สุรินทร์')","('พยัคฆภูมิพิสัย', 'มหาสารคาม')",1
"('ชุมพลบุรี', 'สุรินทร์')","('เกษตรวิสัย', 'ร้อยเอ็ด')",1
"('ท่าตูม', 'สุรินทร์')","('สตึก', 'บุรีรัมย์')",1
