Amper1,Amper2,Adjacent
"('เมืองชัยภูมิ', 'ชัยภูมิ')","('บ้านเขว้า', 'ชัยภูมิ')",1
"('เมืองชัยภูมิ', 'ชัยภูมิ')","('คอนสวรรค์', 'ชัยภูมิ')",1
"('เมืองชัยภูมิ', 'ชัยภูมิ')","('เกษตรสมบูรณ์', 'ชัยภูมิ')",1
"('เมืองชัยภูมิ', 'ชัยภูมิ')","('หนองบัวแดง', 'ชัยภูมิ')",1
"('เมืองชัยภูมิ', 'ชัยภูมิ')","('จัตุรัส', 'ชัยภูมิ')",1
"('เมืองชัยภูมิ', 'ชัยภูมิ')","('ภูเขียว', 'ชัยภูมิ')",1
"('เมืองชัยภูมิ', 'ชัยภูมิ')","('บ้านเหลื่อม', 'นครราชสีมา')",1
"('เมืองชัยภูมิ', 'ชัยภูมิ')","('แก้งสนามนาง', 'นครราชสีมา')",1
"('เมืองชัยภูมิ', 'ชัยภูมิ')","('แก้งคร้อ', 'ชัยภูมิ')",1
"('เมืองชัยภูมิ', 'ชัยภูมิ')","('เนินสง่า', 'ชัยภูมิ')",1
"('บ้านเขว้า', 'ชัยภูมิ')","('เมืองชัยภูมิ', 'ชัยภูมิ')",1
"('บ้านเขว้า', 'ชัยภูมิ')","('หนองบัวแดง', 'ชัยภูมิ')",1
"('บ้านเขว้า', 'ชัยภูมิ')","('จัตุรัส', 'ชัยภูมิ')",1
"('บ้านเขว้า', 'ชัยภูมิ')","('หนองบัวระเหว', 'ชัยภูมิ')",1
"('บ้านเขว้า', 'ชัยภูมิ')","('เนินสง่า', 'ชัยภูมิ')",1
"('คอนสวรรค์', 'ชัยภูมิ')","('เมืองชัยภูมิ', 'ชัยภูมิ')",1
"('คอนสวรรค์', 'ชัยภูมิ')","('แวงใหญ่', 'ขอนแก่น')",1
"('คอนสวรรค์', 'ชัยภูมิ')","('แวงน้อย', 'ขอนแก่น')",1
"('คอนสวรรค์', 'ชัยภูมิ')","('โคกโพธิ์ไชย', 'ขอนแก่น')",1
"('คอนสวรรค์', 'ชัยภูมิ')","('แก้งสนามนาง', 'นครราชสีมา')",1
"('คอนสวรรค์', 'ชัยภูมิ')","('แก้งคร้อ', 'ชัยภูมิ')",1
"('เกษตรสมบูรณ์', 'ชัยภูมิ')","('เมืองชัยภูมิ', 'ชัยภูมิ')",1
"('เกษตรสมบูรณ์', 'ชัยภูมิ')","('หนองบัวแดง', 'ชัยภูมิ')",1
"('เกษตรสมบูรณ์', 'ชัยภูมิ')","('ภูเขียว', 'ชัยภูมิ')",1
"('เกษตรสมบูรณ์', 'ชัยภูมิ')","('แก้งคร้อ', 'ชัยภูมิ')",1
"('เกษตรสมบูรณ์', 'ชัยภูมิ')","('คอนสาร', 'ชัยภูมิ')",1
"('หนองบัวแดง', 'ชัยภูมิ')","('เมืองเพชรบูรณ์', 'เพชรบูรณ์')",1
"('หนองบัวแดง', 'ชัยภูมิ')","('หนองไผ่', 'เพชรบูรณ์')",1
"('หนองบัวแดง', 'ชัยภูมิ')","('เมืองชัยภูมิ', 'ชัยภูมิ')",1
"('หนองบัวแดง', 'ชัยภูมิ')","('บ้านเขว้า', 'ชัยภูมิ')",1
"('หนองบัวแดง', 'ชัยภูมิ')","('เกษตรสมบูรณ์', 'ชัยภูมิ')",1
"('หนองบัวแดง', 'ชัยภูมิ')","('หนองบัวระเหว', 'ชัยภูมิ')",1
"('หนองบัวแดง', 'ชัยภูมิ')","('ภักดีชุมพล', 'ชัยภูมิ')",1
"('หนองบัวแดง', 'ชัยภูมิ')","('คอนสาร', 'ชัยภูมิ')",1
"('จัตุรัส', 'ชัยภูมิ')","('เมืองชัยภูมิ', 'ชัยภูมิ')",1
"('จัตุรัส', 'ชัยภูมิ')","('บ้านเขว้า', 'ชัยภูมิ')",1
"('จัตุรัส', 'ชัยภูมิ')","('บำเหน็จณรงค์', 'ชัยภูมิ')",1
"('จัตุรัส', 'ชัยภูมิ')","('หนองบัวระเหว', 'ชัยภูมิ')",1
"('จัตุรัส', 'ชัยภูมิ')","('ด่านขุนทด', 'นครราชสีมา')",1
"('จัตุรัส', 'ชัยภูมิ')","('พระทองคำ', 'นครราชสีมา')",1
"('จัตุรัส', 'ชัยภูมิ')","('เนินสง่า', 'ชัยภูมิ')",1
"('จัตุรัส', 'ชัยภูมิ')","('ซับใหญ่', 'ชัยภูมิ')",1
"('บำเหน็จณรงค์', 'ชัยภูมิ')","('จัตุรัส', 'ชัยภูมิ')",1
"('บำเหน็จณรงค์', 'ชัยภูมิ')","('เทพสถิต', 'ชัยภูมิ')",1
"('บำเหน็จณรงค์', 'ชัยภูมิ')","('ด่านขุนทด', 'นครราชสีมา')",1
"('บำเหน็จณรงค์', 'ชัยภูมิ')","('เทพารักษ์', 'นครราชสีมา')",1
"('บำเหน็จณรงค์', 'ชัยภูมิ')","('ซับใหญ่', 'ชัยภูมิ')",1
"('หนองบัวระเหว', 'ชัยภูมิ')","('บ้านเขว้า', 'ชัยภูมิ')",1
"('หนองบัวระเหว', 'ชัยภูมิ')","('หนองบัวแดง', 'ชัยภูมิ')",1
"('หนองบัวระเหว', 'ชัยภูมิ')","('จัตุรัส', 'ชัยภูมิ')",1
"('หนองบัวระเหว', 'ชัยภูมิ')","('เทพสถิต', 'ชัยภูมิ')",1
"('หนองบัวระเหว', 'ชัยภูมิ')","('ภักดีชุมพล', 'ชัยภูมิ')",1
"('หนองบัวระเหว', 'ชัยภูมิ')","('ซับใหญ่', 'ชัยภูมิ')",1
"('เทพสถิต', 'ชัยภูมิ')","('ลำสนธิ', 'ลพบุรี')",1
