Amper1,Amper2,Adjacent
"('เมืองอำนาจเจริญ', 'อำนาจเจริญ')","('คำเขื่อนแก้ว', 'ยโสธร')",1
"('เมืองอำนาจเจริญ', 'อำนาจเจริญ')","('ป่าติ้ว', 'ยโสธร')",1
"('เมืองอำนาจเจริญ', 'อำนาจเจริญ')","('ไทยเจริญ', 'ยโสธร')",1
"('เมืองอำนาจเจริญ', 'อำนาจเจริญ')","('ชานุมาน', 'อำนาจเจริญ')",1
"('เมืองอำนาจเจริญ', 'อำนาจเจริญ')","('ปทุมราชวงศา', 'อำนาจเจริญ')",1
"('เมืองอำนาจเจริญ', 'อำนาจเจริญ')","('พนา', 'อำนาจเจริญ')",1
"('เมืองอำนาจเจริญ', 'อำนาจเจริญ')","('เสนางคนิคม', 'อำนาจเจริญ')",1
"('เมืองอำนาจเจริญ', 'อำนาจเจริญ')","('หัวตะพาน', 'อำนาจเจริญ')",1
"('เมืองอำนาจเจริญ', 'อำนาจเจริญ')","('ลืออำนาจ', 'อำนาจเจริญ')",1
"('ชานุมาน', 'อำนาจเจริญ')","('เขมราฐ', 'อุบลราชธานี')",1
"('ชานุมาน', 'อำนาจเจริญ')","('ดอนตาล', 'มุกดาหาร')",1
"('ชานุมาน', 'อำนาจเจริญ')","('เลิงนกทา', 'ยโสธร')",1
"('ชานุมาน', 'อำนาจเจริญ')","('เมืองอำนาจเจริญ', 'อำนาจเจริญ')",1
"('ชานุมาน', 'อำนาจเจริญ')","('ปทุมราชวงศา', 'อำนาจเจริญ')",1
"('ชานุมาน', 'อำนาจเจริญ')","('เสนางคนิคม', 'อำนาจเจริญ')",1
"('ปทุมราชวงศา', 'อำนาจเจริญ')","('เขมราฐ', 'อุบลราชธานี')",1
"('ปทุมราชวงศา', 'อำนาจเจริญ')","('ตระการพืชผล', 'อุบลราชธานี')",1
"('ปทุมราชวงศา', 'อำนาจเจริญ')","('กุดข้าวปุ้น', 'อุบลราชธานี')",1
"('ปทุมราชวงศา', 'อำนาจเจริญ')","('เมืองอำนาจเจริญ', 'อำนาจเจริญ')",1
"('ปทุมราชวงศา', 'อำนาจเจริญ')","('ชานุมาน', 'อำนาจเจริญ')",1
"('ปทุมราชวงศา', 'อำนาจเจริญ')","('พนา', 'อำนาจเจริญ')",1
"('ปทุมราชวงศา', 'อำนาจเจริญ')","('เสนางคนิคม', 'อำนาจเจริญ')",1
"('พนา', 'อำนาจเจริญ')","('ตระการพืชผล', 'อุบลราชธานี')",1
"('พนา', 'อำนาจเจริญ')","('กุดข้าวปุ้น', 'อุบลราชธานี')",1
"('พนา', 'อำนาจเจริญ')","('ม่วงสามสิบ', 'อุบลราชธานี')",1
"('พนา', 'อำนาจเจริญ')","('เหล่าเสือโก้ก', 'อุบลราชธานี')",1
"('พนา', 'อำนาจเจริญ')","('เมืองอำนาจเจริญ', 'อำนาจเจริญ')",1
"('พนา', 'อำนาจเจริญ')","('ปทุมราชวงศา', 'อำนาจเจริญ')",1
"('พนา', 'อำนาจเจริญ')","('ลืออำนาจ', 'อำนาจเจริญ')",1
"('เสนางคนิคม', 'อำนาจเจริญ')","('ป่าติ้ว', 'ยโสธร')",1
"('เสนางคนิคม', 'อำนาจเจริญ')","('เลิงนกทา', 'ยโสธร')",1
"('เสนางคนิคม', 'อำนาจเจริญ')","('ไทยเจริญ', 'ยโสธร')",1
"('เสนางคนิคม', 'อำนาจเจริญ')","('เมืองอำนาจเจริญ', 'อำนาจเจริญ')",1
"('เสนางคนิคม', 'อำนาจเจริญ')","('ชานุมาน', 'อำนาจเจริญ')",1
"('เสนางคนิคม', 'อำนาจเจริญ')","('ปทุมราชวงศา', 'อำนาจเจริญ')",1
"('หัวตะพาน', 'อำนาจเจริญ')","('เขื่องใน', 'อุบลราชธานี')",1
"('หัวตะพาน', 'อำนาจเจริญ')","('ม่วงสามสิบ', 'อุบลราชธานี')",1
"('หัวตะพาน', 'อำนาจเจริญ')","('คำเขื่อนแก้ว', 'ยโสธร')",1
"('หัวตะพาน', 'อำนาจเจริญ')","('ป่าติ้ว', 'ยโสธร')",1
"('หัวตะพาน', 'อำนาจเจริญ')","('เมืองอำนาจเจริญ', 'อำนาจเจริญ')",1
"('หัวตะพาน', 'อำนาจเจริญ')","('ลืออำนาจ', 'อำนาจเจริญ')",1
"('ลืออำนาจ', 'อำนาจเจริญ')","('ม่วงสามสิบ', 'อุบลราชธานี')",1
"('ลืออำนาจ', 'อำนาจเจริญ')","('เมืองอำนาจเจริญ', 'อำนาจเจริญ')",1
"('ลืออำนาจ', 'อำนาจเจริญ')","('พนา', 'อำนาจเจริญ')",1
"('ลืออำนาจ', 'อำนาจเจริญ')","('หัวตะพาน', 'อำนาจเจริญ')",1
