Amper1,Amper2,Adjacent
"('พรเจริญ', 'บึงกาฬ')","('โซ่พิสัย', 'บึงกาฬ')",1
"('พรเจริญ', 'บึงกาฬ')","('เซกา', 'บึงกาฬ')",1
"('พรเจริญ', 'บึงกาฬ')","('ศรีวิไล', 'บึงกาฬ')",1
"('พรเจริญ', 'บึงกาฬ')","('คำตากล้า', 'สกลนคร')",1
"('พรเจริญ', 'บึงกาฬ')","('บ้านม่วง', 'สกลนคร')",1
"('พรเจริญ', 'บึงกาฬ')","('บึงกาฬ', 'บึงกาฬ')",1
"('โซ่พิสัย', 'บึงกาฬ')","('พรเจริญ', 'บึงกาฬ')",1
"('โซ่พิสัย', 'บึงกาฬ')","('ปากคาด', 'บึงกาฬ')",1
"('โซ่พิสัย', 'บึงกาฬ')","('เฝ้าไร่', 'หนองคาย')",1
"('โซ่พิสัย', 'บึงกาฬ')","('รัตนวาปี', 'หนองคาย')",1
"('โซ่พิสัย', 'บึงกาฬ')","('บ้านม่วง', 'สกลนคร')",1
"('โซ่พิสัย', 'บึงกาฬ')","('บึงกาฬ', 'บึงกาฬ')",1
"('เซกา', 'บึงกาฬ')","('พรเจริญ', 'บึงกาฬ')",1
"('เซกา', 'บึงกาฬ')","('บึงโขงหลง', 'บึงกาฬ')",1
"('เซกา', 'บึงกาฬ')","('ศรีวิไล', 'บึงกาฬ')",1
"('เซกา', 'บึงกาฬ')","('บุ่งคล้า', 'บึงกาฬ')",1
"('เซกา', 'บึงกาฬ')","('คำตากล้า', 'สกลนคร')",1
"('เซกา', 'บึงกาฬ')","('บ้านม่วง', 'สกลนคร')",1
"('เซกา', 'บึงกาฬ')","('อากาศอำนวย', 'สกลนคร')",1
"('เซกา', 'บึงกาฬ')","('นาทม', 'นครพนม')",1
"('เซกา', 'บึงกาฬ')","('บึงกาฬ', 'บึงกาฬ')",1
"('ปากคาด', 'บึงกาฬ')","('โซ่พิสัย', 'บึงกาฬ')",1
"('ปากคาด', 'บึงกาฬ')","('รัตนวาปี', 'หนองคาย')",1
"('ปากคาด', 'บึงกาฬ')","('บึงกาฬ', 'บึงกาฬ')",1
"('บึงโขงหลง', 'บึงกาฬ')","('เซกา', 'บึงกาฬ')",1
"('บึงโขงหลง', 'บึงกาฬ')","('บุ่งคล้า', 'บึงกาฬ')",1
"('บึงโขงหลง', 'บึงกาฬ')","('บ้านแพง', 'นครพนม')",1
"('บึงโขงหลง', 'บึงกาฬ')","('นาทม', 'นครพนม')",1
"('ศรีวิไล', 'บึงกาฬ')","('พรเจริญ', 'บึงกาฬ')",1
"('ศรีวิไล', 'บึงกาฬ')","('เซกา', 'บึงกาฬ')",1
"('ศรีวิไล', 'บึงกาฬ')","('บุ่งคล้า', 'บึงกาฬ')",1
"('ศรีวิไล', 'บึงกาฬ')","('บึงกาฬ', 'บึงกาฬ')",1
"('บุ่งคล้า', 'บึงกาฬ')","('เซกา', 'บึงกาฬ')",1
"('บุ่งคล้า', 'บึงกาฬ')","('บึงโขงหลง', 'บึงกาฬ')",1
"('บุ่งคล้า', 'บึงกาฬ')","('ศรีวิไล', 'บึงกาฬ')",1
"('บุ่งคล้า', 'บึงกาฬ')","('บึงกาฬ', 'บึงกาฬ')",1
"('บึงกาฬ', 'บึงกาฬ')","('พรเจริญ', 'บึงกาฬ')",1
"('บึงกาฬ', 'บึงกาฬ')","('โซ่พิสัย', 'บึงกาฬ')",1
"('บึงกาฬ', 'บึงกาฬ')","('เซกา', 'บึงกาฬ')",1
"('บึงกาฬ', 'บึงกาฬ')","('ปากคาด', 'บึงกาฬ')",1
"('บึงกาฬ', 'บึงกาฬ')","('ศรีวิไล', 'บึงกาฬ')",1
"('บึงกาฬ', 'บึงกาฬ')","('บุ่งคล้า', 'บึงกาฬ')",1
