Amper1,Amper2,Adjacent
"('เมืองขอนแก่น', 'ขอนแก่น')","('บ้านฝาง', 'ขอนแก่น')",1
"('เมืองขอนแก่น', 'ขอนแก่น')","('พระยืน', 'ขอนแก่น')",1
"('เมืองขอนแก่น', 'ขอนแก่น')","('น้ำพอง', 'ขอนแก่น')",1
"('เมืองขอนแก่น', 'ขอนแก่น')","('อุบลรัตน์', 'ขอนแก่น')",1
"('เมืองขอนแก่น', 'ขอนแก่น')","('ซำสูง', 'ขอนแก่น')",1
"('เมืองขอนแก่น', 'ขอนแก่น')","('บ้านแฮด', 'ขอนแก่น')",1
"('เมืองขอนแก่น', 'ขอนแก่น')","('โกสุมพิสัย', 'มหาสารคาม')",1
"('เมืองขอนแก่น', 'ขอนแก่น')","('เชียงยืน', 'มหาสารคาม')",1
"('บ้านฝาง', 'ขอนแก่น')","('เมืองขอนแก่น', 'ขอนแก่น')",1
"('บ้านฝาง', 'ขอนแก่น')","('พระยืน', 'ขอนแก่น')",1
"('บ้านฝาง', 'ขอนแก่น')","('หนองเรือ', 'ขอนแก่น')",1
"('บ้านฝาง', 'ขอนแก่น')","('อุบลรัตน์', 'ขอนแก่น')",1
"('บ้านฝาง', 'ขอนแก่น')","('ภูเวียง', 'ขอนแก่น')",1
"('บ้านฝาง', 'ขอนแก่น')","('มัญจาคีรี', 'ขอนแก่น')",1
"('พระยืน', 'ขอนแก่น')","('เมืองขอนแก่น', 'ขอนแก่น')",1
"('พระยืน', 'ขอนแก่น')","('บ้านฝาง', 'ขอนแก่น')",1
"('พระยืน', 'ขอนแก่น')","('หนองเรือ', 'ขอนแก่น')",1
"('พระยืน', 'ขอนแก่น')","('มัญจาคีรี', 'ขอนแก่น')",1
"('พระยืน', 'ขอนแก่น')","('บ้านแฮด', 'ขอนแก่น')",1
"('หนองเรือ', 'ขอนแก่น')","('บ้านแท่น', 'ชัยภูมิ')",1
"('หนองเรือ', 'ขอนแก่น')","('บ้านฝาง', 'ขอนแก่น')",1
"('หนองเรือ', 'ขอนแก่น')","('พระยืน', 'ขอนแก่น')",1
"('หนองเรือ', 'ขอนแก่น')","('ชุมแพ', 'ขอนแก่น')",1
"('หนองเรือ', 'ขอนแก่น')","('อุบลรัตน์', 'ขอนแก่น')",1
"('หนองเรือ', 'ขอนแก่น')","('ภูเวียง', 'ขอนแก่น')",1
"('หนองเรือ', 'ขอนแก่น')","('มัญจาคีรี', 'ขอนแก่น')",1
"('ชุมแพ', 'ขอนแก่น')","('ภูเขียว', 'ชัยภูมิ')",1
"('ชุมแพ', 'ขอนแก่น')","('บ้านแท่น', 'ชัยภูมิ')",1
"('ชุมแพ', 'ขอนแก่น')","('ศรีบุญเรือง', 'หนองบัวลำภู')",1
"('ชุมแพ', 'ขอนแก่น')","('หนองเรือ', 'ขอนแก่น')",1
"('ชุมแพ', 'ขอนแก่น')","('สีชมพู', 'ขอนแก่น')",1
"('ชุมแพ', 'ขอนแก่น')","('ภูเวียง', 'ขอนแก่น')",1
"('ชุมแพ', 'ขอนแก่น')","('ภูผาม่าน', 'ขอนแก่น')",1
"('ชุมแพ', 'ขอนแก่น')","('ภูกระดึง', 'เลย')",1
"('ชุมแพ', 'ขอนแก่น')","('คอนสาร', 'ชัยภูมิ')",1
"('ชุมแพ', 'ขอนแก่น')","('เวียงเก่า', 'ขอนแก่น')",1
"('สีชมพู', 'ขอนแก่น')","('ศรีบุญเรือง', 'หนองบัวลำภู')",1
"('สีชมพู', 'ขอนแก่น')","('ชุมแพ', 'ขอนแก่น')",1
"('สีชมพู', 'ขอนแก่น')","('หนองนาคำ', 'ขอนแก่น')",1
"('สีชมพู', 'ขอนแก่น')","('ภูกระดึง', 'เลย')",1
"('สีชมพู', 'ขอนแก่น')","('เวียงเก่า', 'ขอนแก่น')",1
"('น้ำพอง', 'ขอนแก่น')","('เมืองขอนแก่น', 'ขอนแก่น')",1
"('น้ำพอง', 'ขอนแก่น')","('อุบลรัตน์', 'ขอนแก่น')",1
"('น้ำพอง', 'ขอนแก่น')","('กระนวน', 'ขอนแก่น')",1
"('น้ำพอง', 'ขอนแก่น')","('เขาสวนกวาง', 'ขอนแก่น')",1
"('น้ำพอง', 'ขอนแก่น')","('ซำสูง', 'ขอนแก่น')",1
"('น้ำพอง', 'ขอนแก่น')","('โนนสะอาด', 'อุดรธานี')",1
"('อุบลรัตน์', 'ขอนแก่น')","('โนนสัง', 'หนองบัวลำภู')",1
"('อุบลรัตน์', 'ขอนแก่น')","('เมืองขอนแก่น', 'ขอนแก่น')",1
"('อุบลรัตน์', 'ขอนแก่น')","('บ้านฝาง', 'ขอนแก่น')",1
"('อุบลรัตน์', 'ขอนแก่น')","('หนองเรือ', 'ขอนแก่น')",1
"('อุบลรัตน์', 'ขอนแก่น')","('น้ำพอง', 'ขอนแก่น')",1
"('อุบลรัตน์', 'ขอนแก่น')","('ภูเวียง', 'ขอนแก่น')",1
"('อุบลรัตน์', 'ขอนแก่น')","('เขาสวนกวาง', 'ขอนแก่น')",1
"('กระนวน', 'ขอนแก่น')","('น้ำพอง', 'ขอนแก่น')",1
"('กระนวน', 'ขอนแก่น')","('ซำสูง', 'ขอนแก่น')",1
"('กระนวน', 'ขอนแก่น')","('กุมภวาปี', 'อุดรธานี')",1
"('กระนวน', 'ขอนแก่น')","('โนนสะอาด', 'อุดรธานี')",1
"('กระนวน', 'ขอนแก่น')","('ศรีธาตุ', 'อุดรธานี')",1
"('กระนวน', 'ขอนแก่น')","('ห้วยเม็ก', 'กาฬสินธุ์')",1
"('กระนวน', 'ขอนแก่น')","('ท่าคันโท', 'กาฬสินธุ์')",1
"('กระนวน', 'ขอนแก่น')","('หนองกุงศรี', 'กาฬสินธุ์')",1
"('กระนวน', 'ขอนแก่น')","('ชื่นชม', 'มหาสารคาม')",1
"('บ้านไผ่', 'ขอนแก่น')","('เปือยน้อย', 'ขอนแก่น')",1
"('บ้านไผ่', 'ขอนแก่น')","('หนองสองห้อง', 'ขอนแก่น')",1
"('บ้านไผ่', 'ขอนแก่น')","('มัญจาคีรี', 'ขอนแก่น')",1
"('บ้านไผ่', 'ขอนแก่น')","('ชนบท', 'ขอนแก่น')",1
"('บ้านไผ่', 'ขอนแก่น')","('บ้านแฮด', 'ขอนแก่น')",1
"('บ้านไผ่', 'ขอนแก่น')","('โนนศิลา', 'ขอนแก่น')",1
"('บ้านไผ่', 'ขอนแก่น')","('โกสุมพิสัย', 'มหาสารคาม')",1
"('บ้านไผ่', 'ขอนแก่น')","('กุดรัง', 'มหาสารคาม')",1
"('เปือยน้อย', 'ขอนแก่น')","('บ้านไผ่', 'ขอนแก่น')",1
"('เปือยน้อย', 'ขอนแก่น')","('หนองสองห้อง', 'ขอนแก่น')",1
"('เปือยน้อย', 'ขอนแก่น')","('โนนศิลา', 'ขอนแก่น')",1
"('เปือยน้อย', 'ขอนแก่น')","('นาโพธิ์', 'บุรีรัมย์')",1
"('เปือยน้อย', 'ขอนแก่น')","('บรบือ', 'มหาสารคาม')",1
"('เปือยน้อย', 'ขอนแก่น')","('นาเชือก', 'มหาสารคาม')",1
"('เปือยน้อย', 'ขอนแก่น')","('กุดรัง', 'มหาสารคาม')",1
"('พล', 'ขอนแก่น')","('แวงใหญ่', 'ขอนแก่น')",1
"('พล', 'ขอนแก่น')","('แวงน้อย', 'ขอนแก่น')",1
"('พล', 'ขอนแก่น')","('หนองสองห้อง', 'ขอนแก่น')",1
"('พล', 'ขอนแก่น')","('ชนบท', 'ขอนแก่น')",1
"('พล', 'ขอนแก่น')","('โนนศิลา', 'ขอนแก่น')",1
"('พล', 'ขอนแก่น')","('บัวใหญ่', 'นครราชสีมา')",1
"('พล', 'ขอนแก่น')","('ประทาย', 'นครราชสีมา')",1
"('พล', 'ขอนแก่น')","('บัวลาย', 'นครราชสีมา')",1
"('แวงใหญ่', 'ขอนแก่น')","('คอนสวรรค์', 'ชัยภูมิ')",1
"('แวงใหญ่', 'ขอนแก่น')","('พล', 'ขอนแก่น')",1
"('แวงใหญ่', 'ขอนแก่น')","('แวงน้อย', 'ขอนแก่น')",1
"('แวงใหญ่', 'ขอนแก่น')","('ชนบท', 'ขอนแก่น')",1
"('แวงใหญ่', 'ขอนแก่น')","('โคกโพธิ์ไชย', 'ขอนแก่น')",1
"('แวงน้อย', 'ขอนแก่น')","('คอนสวรรค์', 'ชัยภูมิ')",1
"('แวงน้อย', 'ขอนแก่น')","('พล', 'ขอนแก่น')",1
"('แวงน้อย', 'ขอนแก่น')","('แวงใหญ่', 'ขอนแก่น')",1
"('แวงน้อย', 'ขอนแก่น')","('บัวใหญ่', 'นครราชสีมา')",1
"('แวงน้อย', 'ขอนแก่น')","('แก้งสนามนาง', 'นครราชสีมา')",1
"('แวงน้อย', 'ขอนแก่น')","('บัวลาย', 'นครราชสีมา')",1
"('หนองสองห้อง', 'ขอนแก่น')","('พุทไธสง', 'บุรีรัมย์')",1
"('หนองสองห้อง', 'ขอนแก่น')","('บ้านไผ่', 'ขอนแก่น')",1
