Amper1,Amper2,Adjacent
"('นาแห้ว', 'เลย')","('นครไทย', 'พิษณุโลก')",1
"('นาแห้ว', 'เลย')","('ชาติตระการ', 'พิษณุโลก')",1
"('นาแห้ว', 'เลย')","('ด่านซ้าย', 'เลย')",1
"('ภูเรือ', 'เลย')","('ท่าลี่', 'เลย')",1
"('ภูเรือ', 'เลย')","('วังสะพุง', 'เลย')",1
"('ภูเรือ', 'เลย')","('เมืองเลย', 'เลย')",1
"('ภูเรือ', 'เลย')","('ด่านซ้าย', 'เลย')",1
"('ท่าลี่', 'เลย')","('ภูเรือ', 'เลย')",1
"('ท่าลี่', 'เลย')","('เมืองเลย', 'เลย')",1
"('ท่าลี่', 'เลย')","('เชียงคาน', 'เลย')",1
"('ท่าลี่', 'เลย')","('ด่านซ้าย', 'เลย')",1
"('วังสะพุง', 'เลย')","('หล่มเก่า', 'เพชรบูรณ์')",1
"('วังสะพุง', 'เลย')","('ภูเรือ', 'เลย')",1
"('วังสะพุง', 'เลย')","('ภูหลวง', 'เลย')",1
"('วังสะพุง', 'เลย')","('ผาขาว', 'เลย')",1
"('วังสะพุง', 'เลย')","('เอราวัณ', 'เลย')",1
"('วังสะพุง', 'เลย')","('หนองหิน', 'เลย')",1
"('วังสะพุง', 'เลย')","('เมืองเลย', 'เลย')",1
"('วังสะพุง', 'เลย')","('นาด้วง', 'เลย')",1
"('วังสะพุง', 'เลย')","('ด่านซ้าย', 'เลย')",1
"('ภูกระดึง', 'เลย')","('น้ำหนาว', 'เพชรบูรณ์')",1
"('ภูกระดึง', 'เลย')","('ศรีบุญเรือง', 'หนองบัวลำภู')",1
"('ภูกระดึง', 'เลย')","('ชุมแพ', 'ขอนแก่น')",1
"('ภูกระดึง', 'เลย')","('สีชมพู', 'ขอนแก่น')",1
"('ภูกระดึง', 'เลย')","('ภูผาม่าน', 'ขอนแก่น')",1
"('ภูกระดึง', 'เลย')","('ภูหลวง', 'เลย')",1
"('ภูกระดึง', 'เลย')","('ผาขาว', 'เลย')",1
"('ภูกระดึง', 'เลย')","('หนองหิน', 'เลย')",1
"('ภูหลวง', 'เลย')","('หล่มเก่า', 'เพชรบูรณ์')",1
"('ภูหลวง', 'เลย')","('น้ำหนาว', 'เพชรบูรณ์')",1
"('ภูหลวง', 'เลย')","('วังสะพุง', 'เลย')",1
"('ภูหลวง', 'เลย')","('ภูกระดึง', 'เลย')",1
"('ภูหลวง', 'เลย')","('หนองหิน', 'เลย')",1
"('ภูหลวง', 'เลย')","('ด่านซ้าย', 'เลย')",1
"('ผาขาว', 'เลย')","('ศรีบุญเรือง', 'หนองบัวลำภู')",1
"('ผาขาว', 'เลย')","('วังสะพุง', 'เลย')",1
"('ผาขาว', 'เลย')","('ภูกระดึง', 'เลย')",1
"('ผาขาว', 'เลย')","('เอราวัณ', 'เลย')",1
"('ผาขาว', 'เลย')","('หนองหิน', 'เลย')",1
"('เอราวัณ', 'เลย')","('นากลาง', 'หนองบัวลำภู')",1
"('เอราวัณ', 'เลย')","('ศรีบุญเรือง', 'หนองบัวลำภู')",1
"('เอราวัณ', 'เลย')","('นาวัง', 'หนองบัวลำภู')",1
"('เอราวัณ', 'เลย')","('วังสะพุง', 'เลย')",1
"('เอราวัณ', 'เลย')","('ผาขาว', 'เลย')",1
"('เอราวัณ', 'เลย')","('เมืองเลย', 'เลย')",1
"('เอราวัณ', 'เลย')","('นาด้วง', 'เลย')",1
"('หนองหิน', 'เลย')","('น้ำหนาว', 'เพชรบูรณ์')",1
"('หนองหิน', 'เลย')","('วังสะพุง', 'เลย')",1
"('หนองหิน', 'เลย')","('ภูกระดึง', 'เลย')",1
"('หนองหิน', 'เลย')","('ภูหลวง', 'เลย')",1
"('หนองหิน', 'เลย')","('ผาขาว', 'เลย')",1
"('เมืองเลย', 'เลย')","('ภูเรือ', 'เลย')",1
"('เมืองเลย', 'เลย')","('ท่าลี่', 'เลย')",1
"('เมืองเลย', 'เลย')","('วังสะพุง', 'เลย')",1
"('เมืองเลย', 'เลย')","('เอราวัณ', 'เลย')",1
"('เมืองเลย', 'เลย')","('นาด้วง', 'เลย')",1
"('เมืองเลย', 'เลย')","('เชียงคาน', 'เลย')",1
"('เมืองเลย', 'เลย')","('ปากชม', 'เลย')",1
"('นาด้วง', 'เลย')","('นากลาง', 'หนองบัวลำภู')",1
"('นาด้วง', 'เลย')","('สุวรรณคูหา', 'หนองบัวลำภู')",1
"('นาด้วง', 'เลย')","('นาวัง', 'หนองบัวลำภู')",1
"('นาด้วง', 'เลย')","('น้ำโสม', 'อุดรธานี')",1
"('นาด้วง', 'เลย')","('วังสะพุง', 'เลย')",1
"('นาด้วง', 'เลย')","('เอราวัณ', 'เลย')",1
"('นาด้วง', 'เลย')","('เมืองเลย', 'เลย')",1
"('นาด้วง', 'เลย')","('ปากชม', 'เลย')",1
"('เชียงคาน', 'เลย')","('ท่าลี่', 'เลย')",1
