Amper1,Amper2,Adjacent
"('เมืองหนองคาย', 'หนองคาย')","('บ้านผือ', 'อุดรธานี')",1
"('เมืองหนองคาย', 'หนองคาย')","('เพ็ญ', 'อุดรธานี')",1
"('เมืองหนองคาย', 'หนองคาย')","('ท่าบ่อ', 'หนองคาย')",1
"('เมืองหนองคาย', 'หนองคาย')","('โพนพิสัย', 'หนองคาย')",1
"('เมืองหนองคาย', 'หนองคาย')","('สระใคร', 'หนองคาย')",1
"('ท่าบ่อ', 'หนองคาย')","('บ้านผือ', 'อุดรธานี')",1
"('ท่าบ่อ', 'หนองคาย')","('เมืองหนองคาย', 'หนองคาย')",1
"('ท่าบ่อ', 'หนองคาย')","('ศรีเชียงใหม่', 'หนองคาย')",1
"('ท่าบ่อ', 'หนองคาย')","('สระใคร', 'หนองคาย')",1
"('ท่าบ่อ', 'หนองคาย')","('โพธิ์ตาก', 'หนองคาย')",1
"('โพนพิสัย', 'หนองคาย')","('บ้านดุง', 'อุดรธานี')",1
"('โพนพิสัย', 'หนองคาย')","('เพ็ญ', 'อุดรธานี')",1
"('โพนพิสัย', 'หนองคาย')","('สร้างคอม', 'อุดรธานี')",1
"('โพนพิสัย', 'หนองคาย')","('เมืองหนองคาย', 'หนองคาย')",1
"('โพนพิสัย', 'หนองคาย')","('เฝ้าไร่', 'หนองคาย')",1
"('โพนพิสัย', 'หนองคาย')","('รัตนวาปี', 'หนองคาย')",1
"('โพนพิสัย', 'หนองคาย')","('บ้านม่วง', 'สกลนคร')",1
"('ศรีเชียงใหม่', 'หนองคาย')","('บ้านผือ', 'อุดรธานี')",1
"('ศรีเชียงใหม่', 'หนองคาย')","('ท่าบ่อ', 'หนองคาย')",1
"('ศรีเชียงใหม่', 'หนองคาย')","('สังคม', 'หนองคาย')",1
"('ศรีเชียงใหม่', 'หนองคาย')","('โพธิ์ตาก', 'หนองคาย')",1
"('สังคม', 'หนองคาย')","('บ้านผือ', 'อุดรธานี')",1
"('สังคม', 'หนองคาย')","('นายูง', 'อุดรธานี')",1
"('สังคม', 'หนองคาย')","('ศรีเชียงใหม่', 'หนองคาย')",1
"('สังคม', 'หนองคาย')","('โพธิ์ตาก', 'หนองคาย')",1
"('สังคม', 'หนองคาย')","('ปากชม', 'เลย')",1
"('สระใคร', 'หนองคาย')","('เมืองอุดรธานี', 'อุดรธานี')",1
"('สระใคร', 'หนองคาย')","('บ้านผือ', 'อุดรธานี')",1
"('สระใคร', 'หนองคาย')","('เพ็ญ', 'อุดรธานี')",1
"('สระใคร', 'หนองคาย')","('เมืองหนองคาย', 'หนองคาย')",1
"('สระใคร', 'หนองคาย')","('ท่าบ่อ', 'หนองคาย')",1
"('เฝ้าไร่', 'หนองคาย')","('โซ่พิสัย', 'บึงกาฬ')",1
"('เฝ้าไร่', 'หนองคาย')","('บ้านดุง', 'อุดรธานี')",1
"('เฝ้าไร่', 'หนองคาย')","('โพนพิสัย', 'หนองคาย')",1
"('เฝ้าไร่', 'หนองคาย')","('รัตนวาปี', 'หนองคาย')",1
"('เฝ้าไร่', 'หนองคาย')","('บ้านม่วง', 'สกลนคร')",1
"('รัตนวาปี', 'หนองคาย')","('โซ่พิสัย', 'บึงกาฬ')",1
"('รัตนวาปี', 'หนองคาย')","('ปากคาด', 'บึงกาฬ')",1
"('รัตนวาปี', 'หนองคาย')","('โพนพิสัย', 'หนองคาย')",1
"('รัตนวาปี', 'หนองคาย')","('เฝ้าไร่', 'หนองคาย')",1
"('โพธิ์ตาก', 'หนองคาย')","('บ้านผือ', 'อุดรธานี')",1
"('โพธิ์ตาก', 'หนองคาย')","('ท่าบ่อ', 'หนองคาย')",1
"('โพธิ์ตาก', 'หนองคาย')","('ศรีเชียงใหม่', 'หนองคาย')",1
"('โพธิ์ตาก', 'หนองคาย')","('สังคม', 'หนองคาย')",1
