Amper1,Amper2,Adjacent
"('เมืองมหาสารคาม', 'มหาสารคาม')","('ฆ้องชัย', 'กาฬสินธุ์')",1
"('เมืองมหาสารคาม', 'มหาสารคาม')","('แกดำ', 'มหาสารคาม')",1
"('เมืองมหาสารคาม', 'มหาสารคาม')","('โกสุมพิสัย', 'มหาสารคาม')",1
"('เมืองมหาสารคาม', 'มหาสารคาม')","('กันทรวิชัย', 'มหาสารคาม')",1
"('เมืองมหาสารคาม', 'มหาสารคาม')","('บรบือ', 'มหาสารคาม')",1
"('เมืองมหาสารคาม', 'มหาสารคาม')","('วาปีปทุม', 'มหาสารคาม')",1
"('เมืองมหาสารคาม', 'มหาสารคาม')","('เมืองร้อยเอ็ด', 'ร้อยเอ็ด')",1
"('เมืองมหาสารคาม', 'มหาสารคาม')","('ศรีสมเด็จ', 'ร้อยเอ็ด')",1
"('เมืองมหาสารคาม', 'มหาสารคาม')","('จังหาร', 'ร้อยเอ็ด')",1
"('เมืองมหาสารคาม', 'มหาสารคาม')","('กมลาไสย', 'กาฬสินธุ์')",1
"('แกดำ', 'มหาสารคาม')","('เมืองมหาสารคาม', 'มหาสารคาม')",1
"('แกดำ', 'มหาสารคาม')","('วาปีปทุม', 'มหาสารคาม')",1
"('แกดำ', 'มหาสารคาม')","('เมืองร้อยเอ็ด', 'ร้อยเอ็ด')",1
"('แกดำ', 'มหาสารคาม')","('ศรีสมเด็จ', 'ร้อยเอ็ด')",1
"('โกสุมพิสัย', 'มหาสารคาม')","('เมืองขอนแก่น', 'ขอนแก่น')",1
"('โกสุมพิสัย', 'มหาสารคาม')","('บ้านไผ่', 'ขอนแก่น')",1
"('โกสุมพิสัย', 'มหาสารคาม')","('บ้านแฮด', 'ขอนแก่น')",1
"('โกสุมพิสัย', 'มหาสารคาม')","('เมืองมหาสารคาม', 'มหาสารคาม')",1
"('โกสุมพิสัย', 'มหาสารคาม')","('ยางตลาด', 'กาฬสินธุ์')",1
"('โกสุมพิสัย', 'มหาสารคาม')","('กันทรวิชัย', 'มหาสารคาม')",1
"('โกสุมพิสัย', 'มหาสารคาม')","('เชียงยืน', 'มหาสารคาม')",1
"('โกสุมพิสัย', 'มหาสารคาม')","('บรบือ', 'มหาสารคาม')",1
"('โกสุมพิสัย', 'มหาสารคาม')","('กุดรัง', 'มหาสารคาม')",1
"('กันทรวิชัย', 'มหาสารคาม')","('เมืองมหาสารคาม', 'มหาสารคาม')",1
"('กันทรวิชัย', 'มหาสารคาม')","('ยางตลาด', 'กาฬสินธุ์')",1
"('กันทรวิชัย', 'มหาสารคาม')","('ฆ้องชัย', 'กาฬสินธุ์')",1
"('กันทรวิชัย', 'มหาสารคาม')","('โกสุมพิสัย', 'มหาสารคาม')",1
"('กันทรวิชัย', 'มหาสารคาม')","('เชียงยืน', 'มหาสารคาม')",1
"('กันทรวิชัย', 'มหาสารคาม')","('บรบือ', 'มหาสารคาม')",1
"('เชียงยืน', 'มหาสารคาม')","('เมืองขอนแก่น', 'ขอนแก่น')",1
