Amper1,Amper2,Adjacent
"('จตุรพักตรพิมาน', 'ร้อยเอ็ด')","('วาปีปทุม', 'มหาสารคาม')",1
"('จตุรพักตรพิมาน', 'ร้อยเอ็ด')","('เมืองร้อยเอ็ด', 'ร้อยเอ็ด')",1
"('จตุรพักตรพิมาน', 'ร้อยเอ็ด')","('เกษตรวิสัย', 'ร้อยเอ็ด')",1
"('จตุรพักตรพิมาน', 'ร้อยเอ็ด')","('ปทุมรัตต์', 'ร้อยเอ็ด')",1
"('จตุรพักตรพิมาน', 'ร้อยเอ็ด')","('เมืองสรวง', 'ร้อยเอ็ด')",1
"('จตุรพักตรพิมาน', 'ร้อยเอ็ด')","('อาจสามารถ', 'ร้อยเอ็ด')",1
"('จตุรพักตรพิมาน', 'ร้อยเอ็ด')","('ศรีสมเด็จ', 'ร้อยเอ็ด')",1
"('ธวัชบุรี', 'ร้อยเอ็ด')","('โพนทอง', 'ร้อยเอ็ด')",1
"('ธวัชบุรี', 'ร้อยเอ็ด')","('โพธิ์ชัย', 'ร้อยเอ็ด')",1
"('ธวัชบุรี', 'ร้อยเอ็ด')","('เสลภูมิ', 'ร้อยเอ็ด')",1
"('ธวัชบุรี', 'ร้อยเอ็ด')","('เมืองร้อยเอ็ด', 'ร้อยเอ็ด')",1
"('ธวัชบุรี', 'ร้อยเอ็ด')","('อาจสามารถ', 'ร้อยเอ็ด')",1
"('ธวัชบุรี', 'ร้อยเอ็ด')","('จังหาร', 'ร้อยเอ็ด')",1
"('ธวัชบุรี', 'ร้อยเอ็ด')","('เชียงขวัญ', 'ร้อยเอ็ด')",1
"('ธวัชบุรี', 'ร้อยเอ็ด')","('ทุ่งเขาหลวง', 'ร้อยเอ็ด')",1
"('พนมไพร', 'ร้อยเอ็ด')","('ศิลาลาด', 'ศรีสะเกษ')",1
"('พนมไพร', 'ร้อยเอ็ด')","('เสลภูมิ', 'ร้อยเอ็ด')",1
"('พนมไพร', 'ร้อยเอ็ด')","('สุวรรณภูมิ', 'ร้อยเอ็ด')",1
"('พนมไพร', 'ร้อยเอ็ด')","('เมืองยโสธร', 'ยโสธร')",1
"('พนมไพร', 'ร้อยเอ็ด')","('คำเขื่อนแก้ว', 'ยโสธร')",1
"('พนมไพร', 'ร้อยเอ็ด')","('มหาชนะชัย', 'ยโสธร')",1
"('พนมไพร', 'ร้อยเอ็ด')","('หนองฮี', 'ร้อยเอ็ด')",1
"('โพนทอง', 'ร้อยเอ็ด')","('ธวัชบุรี', 'ร้อยเอ็ด')",1
"('โพนทอง', 'ร้อยเอ็ด')","('โพธิ์ชัย', 'ร้อยเอ็ด')",1
"('โพนทอง', 'ร้อยเอ็ด')","('หนองพอก', 'ร้อยเอ็ด')",1
"('โพนทอง', 'ร้อยเอ็ด')","('เสลภูมิ', 'ร้อยเอ็ด')",1
"('โพนทอง', 'ร้อยเอ็ด')","('กุฉินารายณ์', 'กาฬสินธุ์')",1
"('โพนทอง', 'ร้อยเอ็ด')","('กุดชุม', 'ยโสธร')",1
"('โพนทอง', 'ร้อยเอ็ด')","('เมยวดี', 'ร้อยเอ็ด')",1
"('โพนทอง', 'ร้อยเอ็ด')","('เชียงขวัญ', 'ร้อยเอ็ด')",1
"('โพธิ์ชัย', 'ร้อยเอ็ด')","('ธวัชบุรี', 'ร้อยเอ็ด')",1
"('โพธิ์ชัย', 'ร้อยเอ็ด')","('โพนทอง', 'ร้อยเอ็ด')",1
"('โพธิ์ชัย', 'ร้อยเอ็ด')","('เสลภูมิ', 'ร้อยเอ็ด')",1
"('โพธิ์ชัย', 'ร้อยเอ็ด')","('กุฉินารายณ์', 'กาฬสินธุ์')",1
"('โพธิ์ชัย', 'ร้อยเอ็ด')","('ดอนจาน', 'กาฬสินธุ์')",1
"('โพธิ์ชัย', 'ร้อยเอ็ด')","('จังหาร', 'ร้อยเอ็ด')",1
"('โพธิ์ชัย', 'ร้อยเอ็ด')","('เชียงขวัญ', 'ร้อยเอ็ด')",1
"('โพธิ์ชัย', 'ร้อยเอ็ด')","('เมืองกาฬสินธุ์', 'กาฬสินธุ์')",1
"('โพธิ์ชัย', 'ร้อยเอ็ด')","('นามน', 'กาฬสินธุ์')",1
"('โพธิ์ชัย', 'ร้อยเอ็ด')","('กมลาไสย', 'กาฬสินธุ์')",1
"('โพธิ์ชัย', 'ร้อยเอ็ด')","('ร่องคำ', 'กาฬสินธุ์')",1
"('หนองพอก', 'ร้อยเอ็ด')","('โพนทอง', 'ร้อยเอ็ด')",1
"('หนองพอก', 'ร้อยเอ็ด')","('เสลภูมิ', 'ร้อยเอ็ด')",1
"('หนองพอก', 'ร้อยเอ็ด')","('กุฉินารายณ์', 'กาฬสินธุ์')",1
"('หนองพอก', 'ร้อยเอ็ด')","('กุดชุม', 'ยโสธร')",1
"('หนองพอก', 'ร้อยเอ็ด')","('เลิงนกทา', 'ยโสธร')",1
"('หนองพอก', 'ร้อยเอ็ด')","('เมยวดี', 'ร้อยเอ็ด')",1
"('หนองพอก', 'ร้อยเอ็ด')","('หนองสูง', 'มุกดาหาร')",1
"('เสลภูมิ', 'ร้อยเอ็ด')","('ธวัชบุรี', 'ร้อยเอ็ด')",1
"('เสลภูมิ', 'ร้อยเอ็ด')","('พนมไพร', 'ร้อยเอ็ด')",1
"('เสลภูมิ', 'ร้อยเอ็ด')","('โพนทอง', 'ร้อยเอ็ด')",1
"('เสลภูมิ', 'ร้อยเอ็ด')","('โพธิ์ชัย', 'ร้อยเอ็ด')",1
"('เสลภูมิ', 'ร้อยเอ็ด')","('หนองพอก', 'ร้อยเอ็ด')",1
"('เสลภูมิ', 'ร้อยเอ็ด')","('เมืองยโสธร', 'ยโสธร')",1
"('เสลภูมิ', 'ร้อยเอ็ด')","('ทรายมูล', 'ยโสธร')",1
"('เสลภูมิ', 'ร้อยเอ็ด')","('กุดชุม', 'ยโสธร')",1
"('เสลภูมิ', 'ร้อยเอ็ด')","('เชียงขวัญ', 'ร้อยเอ็ด')",1
"('เสลภูมิ', 'ร้อยเอ็ด')","('ทุ่งเขาหลวง', 'ร้อยเอ็ด')",1
"('สุวรรณภูมิ', 'ร้อยเอ็ด')","('พนมไพร', 'ร้อยเอ็ด')",1
"('สุวรรณภูมิ', 'ร้อยเอ็ด')","('ท่าตูม', 'สุรินทร์')",1
"('สุวรรณภูมิ', 'ร้อยเอ็ด')","('รัตนบุรี', 'สุรินทร์')",1
"('สุวรรณภูมิ', 'ร้อยเอ็ด')","('เกษตรวิสัย', 'ร้อยเอ็ด')",1
"('สุวรรณภูมิ', 'ร้อยเอ็ด')","('เมืองสรวง', 'ร้อยเอ็ด')",1
"('สุวรรณภูมิ', 'ร้อยเอ็ด')","('โพนทราย', 'ร้อยเอ็ด')",1
"('สุวรรณภูมิ', 'ร้อยเอ็ด')","('หนองฮี', 'ร้อยเอ็ด')",1
"('เมืองร้อยเอ็ด', 'ร้อยเอ็ด')","('เมืองมหาสารคาม', 'มหาสารคาม')",1
"('เมืองร้อยเอ็ด', 'ร้อยเอ็ด')","('จตุรพักตรพิมาน', 'ร้อยเอ็ด')",1
"('เมืองร้อยเอ็ด', 'ร้อยเอ็ด')","('ธวัชบุรี', 'ร้อยเอ็ด')",1
"('เมืองร้อยเอ็ด', 'ร้อยเอ็ด')","('ฆ้องชัย', 'กาฬสินธุ์')",1
"('เมืองร้อยเอ็ด', 'ร้อยเอ็ด')","('แกดำ', 'มหาสารคาม')",1
"('เมืองร้อยเอ็ด', 'ร้อยเอ็ด')","('วาปีปทุม', 'มหาสารคาม')",1
