Amper1,Amper2,Adjacent
"('เมืองสกลนคร', 'สกลนคร')","('กุสุมาลย์', 'สกลนคร')",1
"('เมืองสกลนคร', 'สกลนคร')","('กุดบาก', 'สกลนคร')",1
"('เมืองสกลนคร', 'สกลนคร')","('พรรณานิคม', 'สกลนคร')",1
"('เมืองสกลนคร', 'สกลนคร')","('เต่างอย', 'สกลนคร')",1
"('เมืองสกลนคร', 'สกลนคร')","('โคกศรีสุพรรณ', 'สกลนคร')",1
"('เมืองสกลนคร', 'สกลนคร')","('โพนนาแก้ว', 'สกลนคร')",1
"('เมืองสกลนคร', 'สกลนคร')","('ภูพาน', 'สกลนคร')",1
"('เมืองสกลนคร', 'สกลนคร')","('นาหว้า', 'นครพนม')",1
"('กุสุมาลย์', 'สกลนคร')","('เมืองสกลนคร', 'สกลนคร')",1
"('กุสุมาลย์', 'สกลนคร')","('พรรณานิคม', 'สกลนคร')",1
"('กุสุมาลย์', 'สกลนคร')","('โพนนาแก้ว', 'สกลนคร')",1
"('กุสุมาลย์', 'สกลนคร')","('เมืองนครพนม', 'นครพนม')",1
"('กุสุมาลย์', 'สกลนคร')","('ปลาปาก', 'นครพนม')",1
"('กุสุมาลย์', 'สกลนคร')","('นาหว้า', 'นครพนม')",1
"('กุสุมาลย์', 'สกลนคร')","('โพนสวรรค์', 'นครพนม')",1
"('กุดบาก', 'สกลนคร')","('วังสามหมอ', 'อุดรธานี')",1
"('กุดบาก', 'สกลนคร')","('คำม่วง', 'กาฬสินธุ์')",1
"('กุดบาก', 'สกลนคร')","('สมเด็จ', 'กาฬสินธุ์')",1
"('กุดบาก', 'สกลนคร')","('เมืองสกลนคร', 'สกลนคร')",1
"('กุดบาก', 'สกลนคร')","('พรรณานิคม', 'สกลนคร')",1
"('กุดบาก', 'สกลนคร')","('วาริชภูมิ', 'สกลนคร')",1
"('กุดบาก', 'สกลนคร')","('นิคมน้ำอูน', 'สกลนคร')",1
"('กุดบาก', 'สกลนคร')","('ภูพาน', 'สกลนคร')",1
"('พรรณานิคม', 'สกลนคร')","('เมืองสกลนคร', 'สกลนคร')",1
"('พรรณานิคม', 'สกลนคร')","('กุสุมาลย์', 'สกลนคร')",1
"('พรรณานิคม', 'สกลนคร')","('กุดบาก', 'สกลนคร')",1
"('พรรณานิคม', 'สกลนคร')","('พังโคน', 'สกลนคร')",1
"('พรรณานิคม', 'สกลนคร')","('วาริชภูมิ', 'สกลนคร')",1
"('พรรณานิคม', 'สกลนคร')","('นิคมน้ำอูน', 'สกลนคร')",1
"('พรรณานิคม', 'สกลนคร')","('วานรนิวาส', 'สกลนคร')",1
"('พรรณานิคม', 'สกลนคร')","('อากาศอำนวย', 'สกลนคร')",1
"('พรรณานิคม', 'สกลนคร')","('นาหว้า', 'นครพนม')",1
"('พังโคน', 'สกลนคร')","('พรรณานิคม', 'สกลนคร')",1
"('พังโคน', 'สกลนคร')","('วาริชภูมิ', 'สกลนคร')",1
"('พังโคน', 'สกลนคร')","('นิคมน้ำอูน', 'สกลนคร')",1
"('พังโคน', 'สกลนคร')","('วานรนิวาส', 'สกลนคร')",1
"('พังโคน', 'สกลนคร')","('อากาศอำนวย', 'สกลนคร')",1
"('พังโคน', 'สกลนคร')","('สว่างแดนดิน', 'สกลนคร')",1
"('วาริชภูมิ', 'สกลนคร')","('วังสามหมอ', 'อุดรธานี')",1
"('วาริชภูมิ', 'สกลนคร')","('กุดบาก', 'สกลนคร')",1
"('วาริชภูมิ', 'สกลนคร')","('พรรณานิคม', 'สกลนคร')",1
"('วาริชภูมิ', 'สกลนคร')","('พังโคน', 'สกลนคร')",1
"('วาริชภูมิ', 'สกลนคร')","('นิคมน้ำอูน', 'สกลนคร')",1
"('วาริชภูมิ', 'สกลนคร')","('สว่างแดนดิน', 'สกลนคร')",1
"('วาริชภูมิ', 'สกลนคร')","('ส่องดาว', 'สกลนคร')",1
"('นิคมน้ำอูน', 'สกลนคร')","('วังสามหมอ', 'อุดรธานี')",1
"('นิคมน้ำอูน', 'สกลนคร')","('คำม่วง', 'กาฬสินธุ์')",1
"('นิคมน้ำอูน', 'สกลนคร')","('กุดบาก', 'สกลนคร')",1
"('นิคมน้ำอูน', 'สกลนคร')","('พรรณานิคม', 'สกลนคร')",1
"('นิคมน้ำอูน', 'สกลนคร')","('พังโคน', 'สกลนคร')",1
"('นิคมน้ำอูน', 'สกลนคร')","('วาริชภูมิ', 'สกลนคร')",1
"('วานรนิวาส', 'สกลนคร')","('พรรณานิคม', 'สกลนคร')",1
"('วานรนิวาส', 'สกลนคร')","('พังโคน', 'สกลนคร')",1
"('วานรนิวาส', 'สกลนคร')","('คำตากล้า', 'สกลนคร')",1
"('วานรนิวาส', 'สกลนคร')","('บ้านม่วง', 'สกลนคร')",1
"('วานรนิวาส', 'สกลนคร')","('อากาศอำนวย', 'สกลนคร')",1
"('วานรนิวาส', 'สกลนคร')","('สว่างแดนดิน', 'สกลนคร')",1
"('วานรนิวาส', 'สกลนคร')","('เจริญศิลป์', 'สกลนคร')",1
"('คำตากล้า', 'สกลนคร')","('พรเจริญ', 'บึงกาฬ')",1
"('คำตากล้า', 'สกลนคร')","('เซกา', 'บึงกาฬ')",1
"('คำตากล้า', 'สกลนคร')","('วานรนิวาส', 'สกลนคร')",1
"('คำตากล้า', 'สกลนคร')","('บ้านม่วง', 'สกลนคร')",1
