Amper1,Amper2,Adjacent
"('เมืองมุกดาหาร', 'มุกดาหาร')","('ธาตุพนม', 'นครพนม')",1
"('เมืองมุกดาหาร', 'มุกดาหาร')","('นิคมคำสร้อย', 'มุกดาหาร')",1
"('เมืองมุกดาหาร', 'มุกดาหาร')","('ดอนตาล', 'มุกดาหาร')",1
"('เมืองมุกดาหาร', 'มุกดาหาร')","('ดงหลวง', 'มุกดาหาร')",1
"('เมืองมุกดาหาร', 'มุกดาหาร')","('คำชะอี', 'มุกดาหาร')",1
"('เมืองมุกดาหาร', 'มุกดาหาร')","('เลิงนกทา', 'ยโสธร')",1
"('เมืองมุกดาหาร', 'มุกดาหาร')","('ว่านใหญ่', 'มุกดาหาร')",1
"('เมืองมุกดาหาร', 'มุกดาหาร')","('หนองสูง', 'มุกดาหาร')",1
"('นิคมคำสร้อย', 'มุกดาหาร')","('เมืองมุกดาหาร', 'มุกดาหาร')",1
"('นิคมคำสร้อย', 'มุกดาหาร')","('ดอนตาล', 'มุกดาหาร')",1
"('นิคมคำสร้อย', 'มุกดาหาร')","('คำชะอี', 'มุกดาหาร')",1
"('นิคมคำสร้อย', 'มุกดาหาร')","('เลิงนกทา', 'ยโสธร')",1
"('นิคมคำสร้อย', 'มุกดาหาร')","('หนองสูง', 'มุกดาหาร')",1
"('ดอนตาล', 'มุกดาหาร')","('เมืองมุกดาหาร', 'มุกดาหาร')",1
"('ดอนตาล', 'มุกดาหาร')","('นิคมคำสร้อย', 'มุกดาหาร')",1
"('ดอนตาล', 'มุกดาหาร')","('เลิงนกทา', 'ยโสธร')",1
"('ดอนตาล', 'มุกดาหาร')","('ชานุมาน', 'อำนาจเจริญ')",1
"('ดงหลวง', 'มุกดาหาร')","('เขาวง', 'กาฬสินธุ์')",1
"('ดงหลวง', 'มุกดาหาร')","('นาคู', 'กาฬสินธุ์')",1
"('ดงหลวง', 'มุกดาหาร')","('เต่างอย', 'สกลนคร')",1
"('ดงหลวง', 'มุกดาหาร')","('ภูพาน', 'สกลนคร')",1
"('ดงหลวง', 'มุกดาหาร')","('ธาตุพนม', 'นครพนม')",1
"('ดงหลวง', 'มุกดาหาร')","('นาแก', 'นครพนม')",1
"('ดงหลวง', 'มุกดาหาร')","('เมืองมุกดาหาร', 'มุกดาหาร')",1
"('ดงหลวง', 'มุกดาหาร')","('คำชะอี', 'มุกดาหาร')",1
"('คำชะอี', 'มุกดาหาร')","('กุฉินารายณ์', 'กาฬสินธุ์')",1
"('คำชะอี', 'มุกดาหาร')","('เขาวง', 'กาฬสินธุ์')",1
"('คำชะอี', 'มุกดาหาร')","('เมืองมุกดาหาร', 'มุกดาหาร')",1
"('คำชะอี', 'มุกดาหาร')","('นิคมคำสร้อย', 'มุกดาหาร')",1
"('คำชะอี', 'มุกดาหาร')","('ดงหลวง', 'มุกดาหาร')",1
"('คำชะอี', 'มุกดาหาร')","('หนองสูง', 'มุกดาหาร')",1
"('ว่านใหญ่', 'มุกดาหาร')","('ธาตุพนม', 'นครพนม')",1
"('ว่านใหญ่', 'มุกดาหาร')","('เมืองมุกดาหาร', 'มุกดาหาร')",1
"('หนองสูง', 'มุกดาหาร')","('หนองพอก', 'ร้อยเอ็ด')",1
"('หนองสูง', 'มุกดาหาร')","('กุฉินารายณ์', 'กาฬสินธุ์')",1
"('หนองสูง', 'มุกดาหาร')","('เมืองมุกดาหาร', 'มุกดาหาร')",1
"('หนองสูง', 'มุกดาหาร')","('นิคมคำสร้อย', 'มุกดาหาร')",1
"('หนองสูง', 'มุกดาหาร')","('คำชะอี', 'มุกดาหาร')",1
"('หนองสูง', 'มุกดาหาร')","('เลิงนกทา', 'ยโสธร')",1
"('หนองสูง', 'มุกดาหาร')","('เมยวดี', 'ร้อยเอ็ด')",1
