Amper1,Amper2,Adjacent
"('แม่อาย', 'เชียงใหม่')","('เมืองเชียงราย', 'เชียงราย')",1
"('แม่อาย', 'เชียงใหม่')","('แม่จัน', 'เชียงราย')",1
"('แม่อาย', 'เชียงใหม่')","('แม่สรวย', 'เชียงราย')",1
"('แม่อาย', 'เชียงใหม่')","('ฝาง', 'เชียงใหม่')",1
"('แม่อาย', 'เชียงใหม่')","('แม่ฟ้าหลวง', 'เชียงราย')",1
"('พร้าว', 'เชียงใหม่')","('สันทราย', 'เชียงใหม่')",1
"('พร้าว', 'เชียงใหม่')","('ไชยปราการ', 'เชียงใหม่')",1
"('พร้าว', 'เชียงใหม่')","('แม่สรวย', 'เชียงราย')",1
"('พร้าว', 'เชียงใหม่')","('เวียงป่าเป้า', 'เชียงราย')",1
"('พร้าว', 'เชียงใหม่')","('เชียงดาว', 'เชียงใหม่')",1
"('พร้าว', 'เชียงใหม่')","('ดอยสะเก็ด', 'เชียงใหม่')",1
"('พร้าว', 'เชียงใหม่')","('แม่แตง', 'เชียงใหม่')",1
"('สันป่าตอง', 'เชียงใหม่')","('หางดง', 'เชียงใหม่')",1
"('สันป่าตอง', 'เชียงใหม่')","('สารภี', 'เชียงใหม่')",1
"('สันป่าตอง', 'เชียงใหม่')","('แม่วาง', 'เชียงใหม่')",1
"('สันป่าตอง', 'เชียงใหม่')","('ดอยหล่อ', 'เชียงใหม่')",1
"('สันป่าตอง', 'เชียงใหม่')","('เมืองลำพูน', 'ลำพูน')",1
"('สันป่าตอง', 'เชียงใหม่')","('ป่าซาง', 'ลำพูน')",1
"('สันป่าตอง', 'เชียงใหม่')","('สะเมิง', 'เชียงใหม่')",1
"('สันกำแพง', 'เชียงใหม่')","('สันทราย', 'เชียงใหม่')",1
"('สันกำแพง', 'เชียงใหม่')","('สารภี', 'เชียงใหม่')",1
"('สันกำแพง', 'เชียงใหม่')","('แม่ออน', 'เชียงใหม่')",1
