Amper1,Amper2,Adjacent
"('เมืองอุตรดิตถ์', 'อุตรดิตถ์')","('เด่นชัย', 'แพร่')",1
"('เมืองอุตรดิตถ์', 'อุตรดิตถ์')","('ตรอน', 'อุตรดิตถ์')",1
"('เมืองอุตรดิตถ์', 'อุตรดิตถ์')","('ท่าปลา', 'อุตรดิตถ์')",1
"('เมืองอุตรดิตถ์', 'อุตรดิตถ์')","('ลับแล', 'อุตรดิตถ์')",1
"('เมืองอุตรดิตถ์', 'อุตรดิตถ์')","('ทองแสนขัน', 'อุตรดิตถ์')",1
"('ตรอน', 'อุตรดิตถ์')","('ศรีนคร', 'สุโขทัย')",1
"('ตรอน', 'อุตรดิตถ์')","('วัดโบสถ์', 'พิษณุโลก')",1
"('ตรอน', 'อุตรดิตถ์')","('ศรีสัชนาลัย', 'สุโขทัย')",1
"('ตรอน', 'อุตรดิตถ์')","('สวรรคโลก', 'สุโขทัย')",1
"('ตรอน', 'อุตรดิตถ์')","('เมืองอุตรดิตถ์', 'อุตรดิตถ์')",1
"('ตรอน', 'อุตรดิตถ์')","('พิชัย', 'อุตรดิตถ์')",1
"('ตรอน', 'อุตรดิตถ์')","('ลับแล', 'อุตรดิตถ์')",1
"('ตรอน', 'อุตรดิตถ์')","('ทองแสนขัน', 'อุตรดิตถ์')",1
"('ท่าปลา', 'อุตรดิตถ์')","('สูงเม่น', 'แพร่')",1
"('ท่าปลา', 'อุตรดิตถ์')","('เด่นชัย', 'แพร่')",1
"('ท่าปลา', 'อุตรดิตถ์')","('นาหมื่น', 'น่าน')",1
"('ท่าปลา', 'อุตรดิตถ์')","('เมืองอุตรดิตถ์', 'อุตรดิตถ์')",1
"('ท่าปลา', 'อุตรดิตถ์')","('น้ำปาด', 'อุตรดิตถ์')",1
"('ท่าปลา', 'อุตรดิตถ์')","('ฟากท่า', 'อุตรดิตถ์')",1
"('ท่าปลา', 'อุตรดิตถ์')","('ทองแสนขัน', 'อุตรดิตถ์')",1
"('ท่าปลา', 'อุตรดิตถ์')","('เมืองแพร่', 'แพร่')",1
"('น้ำปาด', 'อุตรดิตถ์')","('ชาติตระการ', 'พิษณุโลก')",1
"('น้ำปาด', 'อุตรดิตถ์')","('ท่าปลา', 'อุตรดิตถ์')",1
"('น้ำปาด', 'อุตรดิตถ์')","('ฟากท่า', 'อุตรดิตถ์')",1
"('น้ำปาด', 'อุตรดิตถ์')","('บ้านโคก', 'อุตรดิตถ์')",1
"('น้ำปาด', 'อุตรดิตถ์')","('ทองแสนขัน', 'อุตรดิตถ์')",1
"('ฟากท่า', 'อุตรดิตถ์')","('นาน้อย', 'น่าน')",1
"('ฟากท่า', 'อุตรดิตถ์')","('นาหมื่น', 'น่าน')",1
"('ฟากท่า', 'อุตรดิตถ์')","('ท่าปลา', 'อุตรดิตถ์')",1
"('ฟากท่า', 'อุตรดิตถ์')","('น้ำปาด', 'อุตรดิตถ์')",1
"('ฟากท่า', 'อุตรดิตถ์')","('บ้านโคก', 'อุตรดิตถ์')",1
"('บ้านโคก', 'อุตรดิตถ์')","('นาน้อย', 'น่าน')",1
"('บ้านโคก', 'อุตรดิตถ์')","('เวียงสา', 'น่าน')",1
"('บ้านโคก', 'อุตรดิตถ์')","('นาหมื่น', 'น่าน')",1
"('บ้านโคก', 'อุตรดิตถ์')","('น้ำปาด', 'อุตรดิตถ์')",1
"('บ้านโคก', 'อุตรดิตถ์')","('ฟากท่า', 'อุตรดิตถ์')",1
"('พิชัย', 'อุตรดิตถ์')","('ศรีนคร', 'สุโขทัย')",1
"('พิชัย', 'อุตรดิตถ์')","('พรหมพิราม', 'พิษณุโลก')",1
"('พิชัย', 'อุตรดิตถ์')","('วัดโบสถ์', 'พิษณุโลก')",1
"('พิชัย', 'อุตรดิตถ์')","('ศรีสำโรง', 'สุโขทัย')",1
"('พิชัย', 'อุตรดิตถ์')","('สวรรคโลก', 'สุโขทัย')",1
"('พิชัย', 'อุตรดิตถ์')","('ตรอน', 'อุตรดิตถ์')",1
"('พิชัย', 'อุตรดิตถ์')","('ทองแสนขัน', 'อุตรดิตถ์')",1
"('ลับแล', 'อุตรดิตถ์')","('ศรีนคร', 'สุโขทัย')",1
"('ลับแล', 'อุตรดิตถ์')","('ศรีสัชนาลัย', 'สุโขทัย')",1
"('ลับแล', 'อุตรดิตถ์')","('สวรรคโลก', 'สุโขทัย')",1
"('ลับแล', 'อุตรดิตถ์')","('เด่นชัย', 'แพร่')",1
"('ลับแล', 'อุตรดิตถ์')","('วังชิ้น', 'แพร่')",1
"('ลับแล', 'อุตรดิตถ์')","('เมืองอุตรดิตถ์', 'อุตรดิตถ์')",1
"('ลับแล', 'อุตรดิตถ์')","('ตรอน', 'อุตรดิตถ์')",1
"('ทองแสนขัน', 'อุตรดิตถ์')","('ชาติตระการ', 'พิษณุโลก')",1
"('ทองแสนขัน', 'อุตรดิตถ์')","('วัดโบสถ์', 'พิษณุโลก')",1
"('ทองแสนขัน', 'อุตรดิตถ์')","('เมืองอุตรดิตถ์', 'อุตรดิตถ์')",1
"('ทองแสนขัน', 'อุตรดิตถ์')","('ตรอน', 'อุตรดิตถ์')",1
"('ทองแสนขัน', 'อุตรดิตถ์')","('ท่าปลา', 'อุตรดิตถ์')",1
"('ทองแสนขัน', 'อุตรดิตถ์')","('น้ำปาด', 'อุตรดิตถ์')",1
"('ทองแสนขัน', 'อุตรดิตถ์')","('พิชัย', 'อุตรดิตถ์')",1
