Amper1,Amper2,Adjacent
"('แม่สะเรียง', 'แม่ฮ่องสอน')","('ฮอด', 'เชียงใหม่')",1
"('แม่สะเรียง', 'แม่ฮ่องสอน')","('อมก๋อย', 'เชียงใหม่')",1
"('แม่สะเรียง', 'แม่ฮ่องสอน')","('แม่ลาน้อย', 'แม่ฮ่องสอน')",1
"('แม่สะเรียง', 'แม่ฮ่องสอน')","('สบเมย', 'แม่ฮ่องสอน')",1
"('แม่สะเรียง', 'แม่ฮ่องสอน')","('แม่แจ่ม', 'เชียงใหม่')",1
"('แม่สะเรียง', 'แม่ฮ่องสอน')","('ขุนยวม', 'แม่ฮ่องสอน')",1
"('แม่ลาน้อย', 'แม่ฮ่องสอน')","('แม่สะเรียง', 'แม่ฮ่องสอน')",1
"('แม่ลาน้อย', 'แม่ฮ่องสอน')","('แม่แจ่ม', 'เชียงใหม่')",1
"('แม่ลาน้อย', 'แม่ฮ่องสอน')","('ขุนยวม', 'แม่ฮ่องสอน')",1
"('สบเมย', 'แม่ฮ่องสอน')","('ฮอด', 'เชียงใหม่')",1
"('สบเมย', 'แม่ฮ่องสอน')","('อมก๋อย', 'เชียงใหม่')",1
"('สบเมย', 'แม่ฮ่องสอน')","('แม่สะเรียง', 'แม่ฮ่องสอน')",1
"('สบเมย', 'แม่ฮ่องสอน')","('ท่าสองยาง', 'ตาก')",1
"('เมืองแม่ฮ่องสอน', 'แม่ฮ่องสอน')","('กัลยาณิวัฒนา', 'เชียงใหม่')",1
"('เมืองแม่ฮ่องสอน', 'แม่ฮ่องสอน')","('แม่แจ่ม', 'เชียงใหม่')",1
"('เมืองแม่ฮ่องสอน', 'แม่ฮ่องสอน')","('ขุนยวม', 'แม่ฮ่องสอน')",1
"('เมืองแม่ฮ่องสอน', 'แม่ฮ่องสอน')","('ปาย', 'แม่ฮ่องสอน')",1
"('เมืองแม่ฮ่องสอน', 'แม่ฮ่องสอน')","('ปางมะผ้า', 'แม่ฮ่องสอน')",1
"('ขุนยวม', 'แม่ฮ่องสอน')","('กัลยาณิวัฒนา', 'เชียงใหม่')",1
"('ขุนยวม', 'แม่ฮ่องสอน')","('แม่สะเรียง', 'แม่ฮ่องสอน')",1
"('ขุนยวม', 'แม่ฮ่องสอน')","('แม่ลาน้อย', 'แม่ฮ่องสอน')",1
"('ขุนยวม', 'แม่ฮ่องสอน')","('แม่แจ่ม', 'เชียงใหม่')",1
"('ขุนยวม', 'แม่ฮ่องสอน')","('เมืองแม่ฮ่องสอน', 'แม่ฮ่องสอน')",1
"('ปาย', 'แม่ฮ่องสอน')","('เวียงแหง', 'เชียงใหม่')",1
"('ปาย', 'แม่ฮ่องสอน')","('กัลยาณิวัฒนา', 'เชียงใหม่')",1
"('ปาย', 'แม่ฮ่องสอน')","('เชียงดาว', 'เชียงใหม่')",1
"('ปาย', 'แม่ฮ่องสอน')","('แม่แตง', 'เชียงใหม่')",1
"('ปาย', 'แม่ฮ่องสอน')","('สะเมิง', 'เชียงใหม่')",1
"('ปาย', 'แม่ฮ่องสอน')","('เมืองแม่ฮ่องสอน', 'แม่ฮ่องสอน')",1
"('ปาย', 'แม่ฮ่องสอน')","('ปางมะผ้า', 'แม่ฮ่องสอน')",1
"('ปางมะผ้า', 'แม่ฮ่องสอน')","('เมืองแม่ฮ่องสอน', 'แม่ฮ่องสอน')",1
"('ปางมะผ้า', 'แม่ฮ่องสอน')","('ปาย', 'แม่ฮ่องสอน')",1
