Amper1,Amper2,Adjacent
"('เมืองนครสวรรค์', 'นครสวรรค์')","('โกรกพระ', 'นครสวรรค์')",1
"('เมืองนครสวรรค์', 'นครสวรรค์')","('ชุมแสง', 'นครสวรรค์')",1
"('เมืองนครสวรรค์', 'นครสวรรค์')","('บรรพตพิสัย', 'นครสวรรค์')",1
"('เมืองนครสวรรค์', 'นครสวรรค์')","('เก้าเลี้ยว', 'นครสวรรค์')",1
"('เมืองนครสวรรค์', 'นครสวรรค์')","('ท่าตะโก', 'นครสวรรค์')",1
"('เมืองนครสวรรค์', 'นครสวรรค์')","('พยุหะคีรี', 'นครสวรรค์')",1
"('เมืองนครสวรรค์', 'นครสวรรค์')","('ลาดยาว', 'นครสวรรค์')",1
"('เมืองนครสวรรค์', 'นครสวรรค์')","('สว่างอารมณ์', 'อุทัยธานี')",1
"('โกรกพระ', 'นครสวรรค์')","('เมืองนครสวรรค์', 'นครสวรรค์')",1
"('โกรกพระ', 'นครสวรรค์')","('พยุหะคีรี', 'นครสวรรค์')",1
"('โกรกพระ', 'นครสวรรค์')","('ลาดยาว', 'นครสวรรค์')",1
"('โกรกพระ', 'นครสวรรค์')","('เมืองอุทัยธานี', 'อุทัยธานี')",1
"('โกรกพระ', 'นครสวรรค์')","('ทัพทัน', 'อุทัยธานี')",1
"('โกรกพระ', 'นครสวรรค์')","('สว่างอารมณ์', 'อุทัยธานี')",1
"('ชุมแสง', 'นครสวรรค์')","('เมืองนครสวรรค์', 'นครสวรรค์')",1
"('ชุมแสง', 'นครสวรรค์')","('หนองบัว', 'นครสวรรค์')",1
"('ชุมแสง', 'นครสวรรค์')","('บรรพตพิสัย', 'นครสวรรค์')",1
"('ชุมแสง', 'นครสวรรค์')","('เก้าเลี้ยว', 'นครสวรรค์')",1
"('ชุมแสง', 'นครสวรรค์')","('ท่าตะโก', 'นครสวรรค์')",1
"('ชุมแสง', 'นครสวรรค์')","('บางมูลนาก', 'พิจิตร')",1
"('ชุมแสง', 'นครสวรรค์')","('โพทะเล', 'พิจิตร')",1
"('หนองบัว', 'นครสวรรค์')","('ชุมแสง', 'นครสวรรค์')",1
"('หนองบัว', 'นครสวรรค์')","('ท่าตะโก', 'นครสวรรค์')",1
"('หนองบัว', 'นครสวรรค์')","('ไพศาลี', 'นครสวรรค์')",1
"('หนองบัว', 'นครสวรรค์')","('บางมูลนาก', 'พิจิตร')",1
"('หนองบัว', 'นครสวรรค์')","('ดงเจริญ', 'พิจิตร')",1
"('หนองบัว', 'นครสวรรค์')","('ชนแดน', 'เพชรบูรณ์')",1
"('หนองบัว', 'นครสวรรค์')","('บึงสามพัน', 'เพชรบูรณ์')",1
"('บรรพตพิสัย', 'นครสวรรค์')","('เมืองนครสวรรค์', 'นครสวรรค์')",1
"('บรรพตพิสัย', 'นครสวรรค์')","('ชุมแสง', 'นครสวรรค์')",1
"('บรรพตพิสัย', 'นครสวรรค์')","('เก้าเลี้ยว', 'นครสวรรค์')",1
"('บรรพตพิสัย', 'นครสวรรค์')","('ลาดยาว', 'นครสวรรค์')",1
"('บรรพตพิสัย', 'นครสวรรค์')","('ขาณุวรลักษบุรี', 'กำแพงเพชร')",1
"('บรรพตพิสัย', 'นครสวรรค์')","('โพทะเล', 'พิจิตร')",1
"('บรรพตพิสัย', 'นครสวรรค์')","('บึงสามัคคี', 'กำแพงเพชร')",1
"('บรรพตพิสัย', 'นครสวรรค์')","('บึงนาราง', 'พิจิตร')",1
"('เก้าเลี้ยว', 'นครสวรรค์')","('เมืองนครสวรรค์', 'นครสวรรค์')",1
"('เก้าเลี้ยว', 'นครสวรรค์')","('ชุมแสง', 'นครสวรรค์')",1
"('เก้าเลี้ยว', 'นครสวรรค์')","('บรรพตพิสัย', 'นครสวรรค์')",1
"('เก้าเลี้ยว', 'นครสวรรค์')","('โพทะเล', 'พิจิตร')",1
"('ตาคลี', 'นครสวรรค์')","('หนองม่วง', 'ลพบุรี')",1
"('ตาคลี', 'นครสวรรค์')","('บ้านหมี่', 'ลพบุรี')",1
"('ตาคลี', 'นครสวรรค์')","('อินทร์บุรี', 'สิงห์บุรี')",1
"('ตาคลี', 'นครสวรรค์')","('เมืองชัยนาท', 'ชัยนาท')",1
"('ตาคลี', 'นครสวรรค์')","('มโนรมย์', 'ชัยนาท')",1
"('ตาคลี', 'นครสวรรค์')","('สรรพยา', 'ชัยนาท')",1
"('ตาคลี', 'นครสวรรค์')","('พยุหะคีรี', 'นครสวรรค์')",1
"('ตาคลี', 'นครสวรรค์')","('ตากฟ้า', 'นครสวรรค์')",1
"('ท่าตะโก', 'นครสวรรค์')","('เมืองนครสวรรค์', 'นครสวรรค์')",1
"('ท่าตะโก', 'นครสวรรค์')","('ชุมแสง', 'นครสวรรค์')",1
