Amper1,Amper2,Adjacent
"('เมืองกำแพงเพชร', 'กำแพงเพชร')","('ไทรงาม', 'กำแพงเพชร')",1
"('เมืองกำแพงเพชร', 'กำแพงเพชร')","('คลองลาน', 'กำแพงเพชร')",1
"('เมืองกำแพงเพชร', 'กำแพงเพชร')","('คลองขลุง', 'กำแพงเพชร')",1
"('เมืองกำแพงเพชร', 'กำแพงเพชร')","('พรานกระต่าย', 'กำแพงเพชร')",1
"('เมืองกำแพงเพชร', 'กำแพงเพชร')","('ลานกระบือ', 'กำแพงเพชร')",1
"('เมืองกำแพงเพชร', 'กำแพงเพชร')","('ทรายทองวัฒนา', 'กำแพงเพชร')",1
"('เมืองกำแพงเพชร', 'กำแพงเพชร')","('ปางศิลาทอง', 'กำแพงเพชร')",1
"('เมืองกำแพงเพชร', 'กำแพงเพชร')","('โกสัมพีนคร', 'กำแพงเพชร')",1
"('เมืองกำแพงเพชร', 'กำแพงเพชร')","('วังเจ้า', 'ตาก')",1
"('ไทรงาม', 'กำแพงเพชร')","('เมืองกำแพงเพชร', 'กำแพงเพชร')",1
"('ไทรงาม', 'กำแพงเพชร')","('คลองขลุง', 'กำแพงเพชร')",1
"('ไทรงาม', 'กำแพงเพชร')","('พรานกระต่าย', 'กำแพงเพชร')",1
"('ไทรงาม', 'กำแพงเพชร')","('ลานกระบือ', 'กำแพงเพชร')",1
"('ไทรงาม', 'กำแพงเพชร')","('ทรายทองวัฒนา', 'กำแพงเพชร')",1
"('ไทรงาม', 'กำแพงเพชร')","('โพธิ์ประทับช้าง', 'พิจิตร')",1
"('ไทรงาม', 'กำแพงเพชร')","('บึงสามัคคี', 'กำแพงเพชร')",1
"('ไทรงาม', 'กำแพงเพชร')","('สามง่าม', 'พิจิตร')",1
"('ไทรงาม', 'กำแพงเพชร')","('วชิรบารมี', 'พิจิตร')",1
"('คลองลาน', 'กำแพงเพชร')","('เมืองกำแพงเพชร', 'กำแพงเพชร')",1
"('คลองลาน', 'กำแพงเพชร')","('ปางศิลาทอง', 'กำแพงเพชร')",1
"('คลองลาน', 'กำแพงเพชร')","('โกสัมพีนคร', 'กำแพงเพชร')",1
"('คลองลาน', 'กำแพงเพชร')","('พบพระ', 'ตาก')",1
"('คลองลาน', 'กำแพงเพชร')","('อุ้มผาง', 'ตาก')",1
"('คลองลาน', 'กำแพงเพชร')","('วังเจ้า', 'ตาก')",1
"('ขาณุวรลักษบุรี', 'กำแพงเพชร')","('บรรพตพิสัย', 'นครสวรรค์')",1
