Amper1,Amper2,Adjacent
"('เมืองราชบุรี', 'ราชบุรี')","('บางคนที', 'สมุทรสงคราม')",1
"('เมืองราชบุรี', 'ราชบุรี')","('อัมพวา', 'สมุทรสงคราม')",1
"('เมืองราชบุรี', 'ราชบุรี')","('จอมบึง', 'ราชบุรี')",1
"('เมืองราชบุรี', 'ราชบุรี')","('ดำเนินสะดวก', 'ราชบุรี')",1
"('เมืองราชบุรี', 'ราชบุรี')","('บางแพ', 'ราชบุรี')",1
"('เมืองราชบุรี', 'ราชบุรี')","('โพธาราม', 'ราชบุรี')",1
"('เมืองราชบุรี', 'ราชบุรี')","('ปากท่อ', 'ราชบุรี')",1
"('เมืองราชบุรี', 'ราชบุรี')","('วัดเพลง', 'ราชบุรี')",1
"('จอมบึง', 'ราชบุรี')","('เมืองราชบุรี', 'ราชบุรี')",1
"('จอมบึง', 'ราชบุรี')","('สวนผึ้ง', 'ราชบุรี')",1
"('จอมบึง', 'ราชบุรี')","('โพธาราม', 'ราชบุรี')",1
"('จอมบึง', 'ราชบุรี')","('ปากท่อ', 'ราชบุรี')",1
"('จอมบึง', 'ราชบุรี')","('บ้านคา', 'ราชบุรี')",1
"('จอมบึง', 'ราชบุรี')","('ท่าม่วง', 'กาญจนบุรี')",1
"('จอมบึง', 'ราชบุรี')","('ด่านมะขามเตี้ย', 'กาญจนบุรี')",1
"('สวนผึ้ง', 'ราชบุรี')","('จอมบึง', 'ราชบุรี')",1
"('สวนผึ้ง', 'ราชบุรี')","('บ้านคา', 'ราชบุรี')",1
"('สวนผึ้ง', 'ราชบุรี')","('เมืองกาญจนบุรี', 'กาญจนบุรี')",1
"('สวนผึ้ง', 'ราชบุรี')","('ด่านมะขามเตี้ย', 'กาญจนบุรี')",1
"('ดำเนินสะดวก', 'ราชบุรี')","('บ้านแพ้ว', 'สมุทรสาคร')",1
"('ดำเนินสะดวก', 'ราชบุรี')","('เมืองสมุทรสงคราม', 'สมุทรสงคราม')",1
"('ดำเนินสะดวก', 'ราชบุรี')","('บางคนที', 'สมุทรสงคราม')",1
"('ดำเนินสะดวก', 'ราชบุรี')","('อัมพวา', 'สมุทรสงคราม')",1
"('ดำเนินสะดวก', 'ราชบุรี')","('เมืองสมุทรสาคร', 'สมุทรสาคร')",1
"('ดำเนินสะดวก', 'ราชบุรี')","('เมืองราชบุรี', 'ราชบุรี')",1
"('ดำเนินสะดวก', 'ราชบุรี')","('บางแพ', 'ราชบุรี')",1
"('ดำเนินสะดวก', 'ราชบุรี')","('โพธาราม', 'ราชบุรี')",1
"('ดำเนินสะดวก', 'ราชบุรี')","('วัดเพลง', 'ราชบุรี')",1
"('บ้านโป่ง', 'ราชบุรี')","('เมืองนครปฐม', 'นครปฐม')",1
"('บ้านโป่ง', 'ราชบุรี')","('กำแพงแสน', 'นครปฐม')",1
"('บ้านโป่ง', 'ราชบุรี')","('บางแพ', 'ราชบุรี')",1
"('บ้านโป่ง', 'ราชบุรี')","('โพธาราม', 'ราชบุรี')",1
"('บ้านโป่ง', 'ราชบุรี')","('ท่ามะกา', 'กาญจนบุรี')",1
"('บ้านโป่ง', 'ราชบุรี')","('ท่าม่วง', 'กาญจนบุรี')",1
"('บางแพ', 'ราชบุรี')","('เมืองนครปฐม', 'นครปฐม')",1
"('บางแพ', 'ราชบุรี')","('บ้านแพ้ว', 'สมุทรสาคร')",1
"('บางแพ', 'ราชบุรี')","('สามพราน', 'นครปฐม')",1
"('บางแพ', 'ราชบุรี')","('เมืองราชบุรี', 'ราชบุรี')",1
"('บางแพ', 'ราชบุรี')","('ดำเนินสะดวก', 'ราชบุรี')",1
"('บางแพ', 'ราชบุรี')","('บ้านโป่ง', 'ราชบุรี')",1
"('บางแพ', 'ราชบุรี')","('โพธาราม', 'ราชบุรี')",1
"('โพธาราม', 'ราชบุรี')","('เมืองนครปฐม', 'นครปฐม')",1
"('โพธาราม', 'ราชบุรี')","('เมืองราชบุรี', 'ราชบุรี')",1
"('โพธาราม', 'ราชบุรี')","('จอมบึง', 'ราชบุรี')",1
"('โพธาราม', 'ราชบุรี')","('ดำเนินสะดวก', 'ราชบุรี')",1
"('โพธาราม', 'ราชบุรี')","('บ้านโป่ง', 'ราชบุรี')",1
"('โพธาราม', 'ราชบุรี')","('บางแพ', 'ราชบุรี')",1
"('โพธาราม', 'ราชบุรี')","('ท่ามะกา', 'กาญจนบุรี')",1
"('โพธาราม', 'ราชบุรี')","('ท่าม่วง', 'กาญจนบุรี')",1
"('ปากท่อ', 'ราชบุรี')","('บางคนที', 'สมุทรสงคราม')",1
"('ปากท่อ', 'ราชบุรี')","('อัมพวา', 'สมุทรสงคราม')",1
"('ปากท่อ', 'ราชบุรี')","('เมืองราชบุรี', 'ราชบุรี')",1
"('ปากท่อ', 'ราชบุรี')","('จอมบึง', 'ราชบุรี')",1
"('ปากท่อ', 'ราชบุรี')","('วัดเพลง', 'ราชบุรี')",1
"('ปากท่อ', 'ราชบุรี')","('บ้านคา', 'ราชบุรี')",1
"('ปากท่อ', 'ราชบุรี')","('เขาย้อย', 'เพชรบุรี')",1
"('ปากท่อ', 'ราชบุรี')","('หนองหญ้าปล้อง', 'เพชรบุรี')",1
"('วัดเพลง', 'ราชบุรี')","('บางคนที', 'สมุทรสงคราม')",1
"('วัดเพลง', 'ราชบุรี')","('อัมพวา', 'สมุทรสงคราม')",1
"('วัดเพลง', 'ราชบุรี')","('เมืองราชบุรี', 'ราชบุรี')",1
"('วัดเพลง', 'ราชบุรี')","('ดำเนินสะดวก', 'ราชบุรี')",1
"('วัดเพลง', 'ราชบุรี')","('ปากท่อ', 'ราชบุรี')",1
"('บ้านคา', 'ราชบุรี')","('จอมบึง', 'ราชบุรี')",1
"('บ้านคา', 'ราชบุรี')","('สวนผึ้ง', 'ราชบุรี')",1
"('บ้านคา', 'ราชบุรี')","('ปากท่อ', 'ราชบุรี')",1
"('บ้านคา', 'ราชบุรี')","('หนองหญ้าปล้อง', 'เพชรบุรี')",1
"('บ้านคา', 'ราชบุรี')","('แก่งกระจาน', 'เพชรบุรี')",1
