Amper1,Amper2,Adjacent
"('เมืองสุพรรณบุรี', 'สุพรรณบุรี')","('ผักไห่', 'พระนครศรีอยุธยา')",1
"('เมืองสุพรรณบุรี', 'สุพรรณบุรี')","('วิเศษชัยชาญ', 'อ่างทอง')",1
"('เมืองสุพรรณบุรี', 'สุพรรณบุรี')","('สามโก้', 'อ่างทอง')",1
"('เมืองสุพรรณบุรี', 'สุพรรณบุรี')","('บางปลาม้า', 'สุพรรณบุรี')",1
"('เมืองสุพรรณบุรี', 'สุพรรณบุรี')","('ศรีประจันต์', 'สุพรรณบุรี')",1
"('เมืองสุพรรณบุรี', 'สุพรรณบุรี')","('ดอนเจดีย์', 'สุพรรณบุรี')",1
"('เมืองสุพรรณบุรี', 'สุพรรณบุรี')","('สองพี่น้อง', 'สุพรรณบุรี')",1
"('เมืองสุพรรณบุรี', 'สุพรรณบุรี')","('อู่ทอง', 'สุพรรณบุรี')",1
"('เดิมบางนางบวช', 'สุพรรณบุรี')","('โพธิ์ทอง', 'อ่างทอง')",1
"('เดิมบางนางบวช', 'สุพรรณบุรี')","('แสวงหา', 'อ่างทอง')",1
"('เดิมบางนางบวช', 'สุพรรณบุรี')","('ค่ายบางระจัน', 'สิงห์บุรี')",1
"('เดิมบางนางบวช', 'สุพรรณบุรี')","('สรรคบุรี', 'ชัยนาท')",1
"('เดิมบางนางบวช', 'สุพรรณบุรี')","('หันคา', 'ชัยนาท')",1
"('เดิมบางนางบวช', 'สุพรรณบุรี')","('เนินขาม', 'ชัยนาท')",1
"('เดิมบางนางบวช', 'สุพรรณบุรี')","('บางระจัน', 'สิงห์บุรี')",1
"('เดิมบางนางบวช', 'สุพรรณบุรี')","('บ้านไร่', 'อุทัยธานี')",1
"('เดิมบางนางบวช', 'สุพรรณบุรี')","('ด่านช้าง', 'สุพรรณบุรี')",1
"('เดิมบางนางบวช', 'สุพรรณบุรี')","('ศรีประจันต์', 'สุพรรณบุรี')",1
"('เดิมบางนางบวช', 'สุพรรณบุรี')","('สามชุก', 'สุพรรณบุรี')",1
"('เดิมบางนางบวช', 'สุพรรณบุรี')","('หนองหญ้าไซ', 'สุพรรณบุรี')",1
"('ด่านช้าง', 'สุพรรณบุรี')","('เนินขาม', 'ชัยนาท')",1
"('ด่านช้าง', 'สุพรรณบุรี')","('บ้านไร่', 'อุทัยธานี')",1
"('ด่านช้าง', 'สุพรรณบุรี')","('เดิมบางนางบวช', 'สุพรรณบุรี')",1
"('ด่านช้าง', 'สุพรรณบุรี')","('หนองหญ้าไซ', 'สุพรรณบุรี')",1
"('ด่านช้าง', 'สุพรรณบุรี')","('ศรีสวัสดิ์', 'กาญจนบุรี')",1
"('ด่านช้าง', 'สุพรรณบุรี')","('เลาขวัญ', 'กาญจนบุรี')",1
"('ด่านช้าง', 'สุพรรณบุรี')","('หนองปรือ', 'กาญจนบุรี')",1
"('บางปลาม้า', 'สุพรรณบุรี')","('ผักไห่', 'พระนครศรีอยุธยา')",1
"('บางปลาม้า', 'สุพรรณบุรี')","('ลาดบัวหลวง', 'พระนครศรีอยุธยา')",1
"('บางปลาม้า', 'สุพรรณบุรี')","('เสนา', 'พระนครศรีอยุธยา')",1
"('บางปลาม้า', 'สุพรรณบุรี')","('บางซ้าย', 'พระนครศรีอยุธยา')",1
"('บางปลาม้า', 'สุพรรณบุรี')","('เมืองสุพรรณบุรี', 'สุพรรณบุรี')",1
"('บางปลาม้า', 'สุพรรณบุรี')","('สองพี่น้อง', 'สุพรรณบุรี')",1
"('บางปลาม้า', 'สุพรรณบุรี')","('อู่ทอง', 'สุพรรณบุรี')",1
"('ศรีประจันต์', 'สุพรรณบุรี')","('โพธิ์ทอง', 'อ่างทอง')",1
"('ศรีประจันต์', 'สุพรรณบุรี')","('แสวงหา', 'อ่างทอง')",1
"('ศรีประจันต์', 'สุพรรณบุรี')","('วิเศษชัยชาญ', 'อ่างทอง')",1
"('ศรีประจันต์', 'สุพรรณบุรี')","('สามโก้', 'อ่างทอง')",1
"('ศรีประจันต์', 'สุพรรณบุรี')","('ค่ายบางระจัน', 'สิงห์บุรี')",1
"('ศรีประจันต์', 'สุพรรณบุรี')","('เมืองสุพรรณบุรี', 'สุพรรณบุรี')",1
"('ศรีประจันต์', 'สุพรรณบุรี')","('เดิมบางนางบวช', 'สุพรรณบุรี')",1
"('ศรีประจันต์', 'สุพรรณบุรี')","('ดอนเจดีย์', 'สุพรรณบุรี')",1
"('ศรีประจันต์', 'สุพรรณบุรี')","('สามชุก', 'สุพรรณบุรี')",1
"('ดอนเจดีย์', 'สุพรรณบุรี')","('เมืองสุพรรณบุรี', 'สุพรรณบุรี')",1
"('ดอนเจดีย์', 'สุพรรณบุรี')","('ศรีประจันต์', 'สุพรรณบุรี')",1
"('ดอนเจดีย์', 'สุพรรณบุรี')","('สามชุก', 'สุพรรณบุรี')",1
"('ดอนเจดีย์', 'สุพรรณบุรี')","('อู่ทอง', 'สุพรรณบุรี')",1
"('ดอนเจดีย์', 'สุพรรณบุรี')","('หนองหญ้าไซ', 'สุพรรณบุรี')",1
"('ดอนเจดีย์', 'สุพรรณบุรี')","('เลาขวัญ', 'กาญจนบุรี')",1
"('สองพี่น้อง', 'สุพรรณบุรี')","('ลาดบัวหลวง', 'พระนครศรีอยุธยา')",1
"('สองพี่น้อง', 'สุพรรณบุรี')","('บางซ้าย', 'พระนครศรีอยุธยา')",1
"('สองพี่น้อง', 'สุพรรณบุรี')","('เมืองสุพรรณบุรี', 'สุพรรณบุรี')",1
"('สองพี่น้อง', 'สุพรรณบุรี')","('บางปลาม้า', 'สุพรรณบุรี')",1
"('สองพี่น้อง', 'สุพรรณบุรี')","('อู่ทอง', 'สุพรรณบุรี')",1
"('สองพี่น้อง', 'สุพรรณบุรี')","('กำแพงแสน', 'นครปฐม')",1
"('สองพี่น้อง', 'สุพรรณบุรี')","('บางเลน', 'นครปฐม')",1
"('สองพี่น้อง', 'สุพรรณบุรี')","('ท่ามะกา', 'กาญจนบุรี')",1
"('สองพี่น้อง', 'สุพรรณบุรี')","('พนมทวน', 'กาญจนบุรี')",1
"('สองพี่น้อง', 'สุพรรณบุรี')","('ห้วยกระเจา', 'กาญจนบุรี')",1
"('สามชุก', 'สุพรรณบุรี')","('โพธิ์ทอง', 'อ่างทอง')",1
"('สามชุก', 'สุพรรณบุรี')","('แสวงหา', 'อ่างทอง')",1
"('สามชุก', 'สุพรรณบุรี')","('ค่ายบางระจัน', 'สิงห์บุรี')",1
"('สามชุก', 'สุพรรณบุรี')","('เดิมบางนางบวช', 'สุพรรณบุรี')",1
"('สามชุก', 'สุพรรณบุรี')","('ศรีประจันต์', 'สุพรรณบุรี')",1
"('สามชุก', 'สุพรรณบุรี')","('ดอนเจดีย์', 'สุพรรณบุรี')",1
"('สามชุก', 'สุพรรณบุรี')","('หนองหญ้าไซ', 'สุพรรณบุรี')",1
"('อู่ทอง', 'สุพรรณบุรี')","('เมืองสุพรรณบุรี', 'สุพรรณบุรี')",1
"('อู่ทอง', 'สุพรรณบุรี')","('บางปลาม้า', 'สุพรรณบุรี')",1
"('อู่ทอง', 'สุพรรณบุรี')","('ดอนเจดีย์', 'สุพรรณบุรี')",1
"('อู่ทอง', 'สุพรรณบุรี')","('สองพี่น้อง', 'สุพรรณบุรี')",1
"('อู่ทอง', 'สุพรรณบุรี')","('พนมทวน', 'กาญจนบุรี')",1
"('อู่ทอง', 'สุพรรณบุรี')","('เลาขวัญ', 'กาญจนบุรี')",1
"('อู่ทอง', 'สุพรรณบุรี')","('ห้วยกระเจา', 'กาญจนบุรี')",1
"('หนองหญ้าไซ', 'สุพรรณบุรี')","('เดิมบางนางบวช', 'สุพรรณบุรี')",1
"('หนองหญ้าไซ', 'สุพรรณบุรี')","('ด่านช้าง', 'สุพรรณบุรี')",1
"('หนองหญ้าไซ', 'สุพรรณบุรี')","('ดอนเจดีย์', 'สุพรรณบุรี')",1
"('หนองหญ้าไซ', 'สุพรรณบุรี')","('สามชุก', 'สุพรรณบุรี')",1
"('หนองหญ้าไซ', 'สุพรรณบุรี')","('เลาขวัญ', 'กาญจนบุรี')",1
