Amper1,Amper2,Adjacent
"('เมืองเพชรบุรี', 'เพชรบุรี')","('เขาย้อย', 'เพชรบุรี')",1
"('เมืองเพชรบุรี', 'เพชรบุรี')","('ท่ายาง', 'เพชรบุรี')",1
"('เมืองเพชรบุรี', 'เพชรบุรี')","('บ้านลาด', 'เพชรบุรี')",1
"('เมืองเพชรบุรี', 'เพชรบุรี')","('บ้านแหลม', 'เพชรบุรี')",1
"('เขาย้อย', 'เพชรบุรี')","('อัมพวา', 'สมุทรสงคราม')",1
"('เขาย้อย', 'เพชรบุรี')","('ปากท่อ', 'ราชบุรี')",1
"('เขาย้อย', 'เพชรบุรี')","('เมืองเพชรบุรี', 'เพชรบุรี')",1
"('เขาย้อย', 'เพชรบุรี')","('หนองหญ้าปล้อง', 'เพชรบุรี')",1
"('เขาย้อย', 'เพชรบุรี')","('บ้านลาด', 'เพชรบุรี')",1
"('เขาย้อย', 'เพชรบุรี')","('บ้านแหลม', 'เพชรบุรี')",1
"('หนองหญ้าปล้อง', 'เพชรบุรี')","('ปากท่อ', 'ราชบุรี')",1
"('หนองหญ้าปล้อง', 'เพชรบุรี')","('บ้านคา', 'ราชบุรี')",1
"('หนองหญ้าปล้อง', 'เพชรบุรี')","('เขาย้อย', 'เพชรบุรี')",1
"('หนองหญ้าปล้อง', 'เพชรบุรี')","('บ้านลาด', 'เพชรบุรี')",1
"('หนองหญ้าปล้อง', 'เพชรบุรี')","('แก่งกระจาน', 'เพชรบุรี')",1
"('ท่ายาง', 'เพชรบุรี')","('เมืองเพชรบุรี', 'เพชรบุรี')",1
"('ท่ายาง', 'เพชรบุรี')","('หัวหิน', 'ประจวบคีรีขันธ์')",1
"('ท่ายาง', 'เพชรบุรี')","('ชะอำ', 'เพชรบุรี')",1
"('ท่ายาง', 'เพชรบุรี')","('บ้านลาด', 'เพชรบุรี')",1
"('ท่ายาง', 'เพชรบุรี')","('แก่งกระจาน', 'เพชรบุรี')",1
"('ชะอำ', 'เพชรบุรี')","('ท่ายาง', 'เพชรบุรี')",1
"('ชะอำ', 'เพชรบุรี')","('หัวหิน', 'ประจวบคีรีขันธ์')",1
"('บ้านลาด', 'เพชรบุรี')","('เมืองเพชรบุรี', 'เพชรบุรี')",1
"('บ้านลาด', 'เพชรบุรี')","('เขาย้อย', 'เพชรบุรี')",1
"('บ้านลาด', 'เพชรบุรี')","('หนองหญ้าปล้อง', 'เพชรบุรี')",1
"('บ้านลาด', 'เพชรบุรี')","('ท่ายาง', 'เพชรบุรี')",1
"('บ้านลาด', 'เพชรบุรี')","('บ้านแหลม', 'เพชรบุรี')",1
"('บ้านลาด', 'เพชรบุรี')","('แก่งกระจาน', 'เพชรบุรี')",1
"('บ้านแหลม', 'เพชรบุรี')","('เมืองสมุทรสงคราม', 'สมุทรสงคราม')",1
"('บ้านแหลม', 'เพชรบุรี')","('อัมพวา', 'สมุทรสงคราม')",1
"('บ้านแหลม', 'เพชรบุรี')","('เมืองเพชรบุรี', 'เพชรบุรี')",1
"('บ้านแหลม', 'เพชรบุรี')","('เขาย้อย', 'เพชรบุรี')",1
"('บ้านแหลม', 'เพชรบุรี')","('บ้านลาด', 'เพชรบุรี')",1
"('แก่งกระจาน', 'เพชรบุรี')","('บ้านคา', 'ราชบุรี')",1
"('แก่งกระจาน', 'เพชรบุรี')","('หนองหญ้าปล้อง', 'เพชรบุรี')",1
"('แก่งกระจาน', 'เพชรบุรี')","('ท่ายาง', 'เพชรบุรี')",1
"('แก่งกระจาน', 'เพชรบุรี')","('หัวหิน', 'ประจวบคีรีขันธ์')",1
"('แก่งกระจาน', 'เพชรบุรี')","('บ้านลาด', 'เพชรบุรี')",1
