Amper1,Amper2,Adjacent
"('เมืองระนอง', 'ระนอง')","('พะโต๊ะ', 'ชุมพร')",1
"('เมืองระนอง', 'ระนอง')","('ละอุ่น', 'ระนอง')",1
"('เมืองระนอง', 'ระนอง')","('กะเปอร์', 'ระนอง')",1
"('เมืองระนอง', 'ระนอง')","('กระบุรี', 'ระนอง')",1
"('ละอุ่น', 'ระนอง')","('หลังสวน', 'ชุมพร')",1
"('ละอุ่น', 'ระนอง')","('พะโต๊ะ', 'ชุมพร')",1
"('ละอุ่น', 'ระนอง')","('สวี', 'ชุมพร')",1
"('ละอุ่น', 'ระนอง')","('ทุ่งตะโก', 'ชุมพร')",1
"('ละอุ่น', 'ระนอง')","('เมืองระนอง', 'ระนอง')",1
"('ละอุ่น', 'ระนอง')","('กระบุรี', 'ระนอง')",1
"('กะเปอร์', 'ระนอง')","('ท่าชนะ', 'สุราษฎร์ธานี')",1
"('กะเปอร์', 'ระนอง')","('ท่าฉาง', 'สุราษฎร์ธานี')",1
"('กะเปอร์', 'ระนอง')","('พะโต๊ะ', 'ชุมพร')",1
"('กะเปอร์', 'ระนอง')","('เมืองระนอง', 'ระนอง')",1
"('กะเปอร์', 'ระนอง')","('สุขสำราญ', 'ระนอง')",1
"('กระบุรี', 'ระนอง')","('เมืองชุมพร', 'ชุมพร')",1
"('กระบุรี', 'ระนอง')","('ท่าแซะ', 'ชุมพร')",1
"('กระบุรี', 'ระนอง')","('สวี', 'ชุมพร')",1
"('กระบุรี', 'ระนอง')","('เมืองระนอง', 'ระนอง')",1
"('กระบุรี', 'ระนอง')","('ละอุ่น', 'ระนอง')",1
"('สุขสำราญ', 'ระนอง')","('คุระบุรี', 'พังงา')",1
"('สุขสำราญ', 'ระนอง')","('บ้านตาขุน', 'สุราษฎร์ธานี')",1
"('สุขสำราญ', 'ระนอง')","('ท่าฉาง', 'สุราษฎร์ธานี')",1
"('สุขสำราญ', 'ระนอง')","('วิภาวดี', 'สุราษฎร์ธานี')",1
"('สุขสำราญ', 'ระนอง')","('กะเปอร์', 'ระนอง')",1
