Amper1,Amper2,Adjacent
"('เมืองตรัง', 'ตรัง')","('กันตัง', 'ตรัง')",1
"('เมืองตรัง', 'ตรัง')","('ย่านตาขาว', 'ตรัง')",1
"('เมืองตรัง', 'ตรัง')","('สิเกา', 'ตรัง')",1
"('เมืองตรัง', 'ตรัง')","('ห้วยยอด', 'ตรัง')",1
"('เมืองตรัง', 'ตรัง')","('วังวิเศษ', 'ตรัง')",1
"('เมืองตรัง', 'ตรัง')","('นาโยง', 'ตรัง')",1
"('เมืองตรัง', 'ตรัง')","('ศรีบรรพต', 'พัทลุง')",1
"('เมืองตรัง', 'ตรัง')","('ศรีนครินทร์', 'พัทลุง')",1
"('กันตัง', 'ตรัง')","('เมืองตรัง', 'ตรัง')",1
"('กันตัง', 'ตรัง')","('ย่านตาขาว', 'ตรัง')",1
"('กันตัง', 'ตรัง')","('ปะเหลียน', 'ตรัง')",1
"('กันตัง', 'ตรัง')","('สิเกา', 'ตรัง')",1
"('กันตัง', 'ตรัง')","('วังวิเศษ', 'ตรัง')",1
"('กันตัง', 'ตรัง')","('หาดสำราญ', 'ตรัง')",1
"('ย่านตาขาว', 'ตรัง')","('เมืองตรัง', 'ตรัง')",1
"('ย่านตาขาว', 'ตรัง')","('กันตัง', 'ตรัง')",1
"('ย่านตาขาว', 'ตรัง')","('ปะเหลียน', 'ตรัง')",1
"('ย่านตาขาว', 'ตรัง')","('นาโยง', 'ตรัง')",1
"('ย่านตาขาว', 'ตรัง')","('หาดสำราญ', 'ตรัง')",1
"('ย่านตาขาว', 'ตรัง')","('กงหรา', 'พัทลุง')",1
"('ย่านตาขาว', 'ตรัง')","('ศรีนครินทร์', 'พัทลุง')",1
"('ปะเหลียน', 'ตรัง')","('ทุ่งหว้า', 'สตูล')",1
"('ปะเหลียน', 'ตรัง')","('กันตัง', 'ตรัง')",1
"('ปะเหลียน', 'ตรัง')","('ย่านตาขาว', 'ตรัง')",1
"('ปะเหลียน', 'ตรัง')","('ตะโหมด', 'พัทลุง')",1
"('ปะเหลียน', 'ตรัง')","('หาดสำราญ', 'ตรัง')",1
"('ปะเหลียน', 'ตรัง')","('กงหรา', 'พัทลุง')",1
"('ปะเหลียน', 'ตรัง')","('ป่าบอน', 'พัทลุง')",1
"('สิเกา', 'ตรัง')","('คลองท่อม', 'กระบี่')",1
"('สิเกา', 'ตรัง')","('เมืองตรัง', 'ตรัง')",1
"('สิเกา', 'ตรัง')","('กันตัง', 'ตรัง')",1
"('สิเกา', 'ตรัง')","('วังวิเศษ', 'ตรัง')",1
"('ห้วยยอด', 'ตรัง')","('ชะอวด', 'นครศรีธรรมราช')",1
"('ห้วยยอด', 'ตรัง')","('ทุ่งสง', 'นครศรีธรรมราช')",1
"('ห้วยยอด', 'ตรัง')","('บางขัน', 'นครศรีธรรมราช')",1
"('ห้วยยอด', 'ตรัง')","('เมืองตรัง', 'ตรัง')",1
"('ห้วยยอด', 'ตรัง')","('วังวิเศษ', 'ตรัง')",1
"('ห้วยยอด', 'ตรัง')","('นาโยง', 'ตรัง')",1
"('ห้วยยอด', 'ตรัง')","('รัษฎา', 'ตรัง')",1
"('ห้วยยอด', 'ตรัง')","('ศรีบรรพต', 'พัทลุง')",1
"('ห้วยยอด', 'ตรัง')","('ป่าพยอม', 'พัทลุง')",1
"('ห้วยยอด', 'ตรัง')","('ศรีนครินทร์', 'พัทลุง')",1
"('วังวิเศษ', 'ตรัง')","('บางขัน', 'นครศรีธรรมราช')",1
"('วังวิเศษ', 'ตรัง')","('คลองท่อม', 'กระบี่')",1
"('วังวิเศษ', 'ตรัง')","('ลำทับ', 'กระบี่')",1
"('วังวิเศษ', 'ตรัง')","('เมืองตรัง', 'ตรัง')",1
"('วังวิเศษ', 'ตรัง')","('กันตัง', 'ตรัง')",1
"('วังวิเศษ', 'ตรัง')","('สิเกา', 'ตรัง')",1
"('วังวิเศษ', 'ตรัง')","('ห้วยยอด', 'ตรัง')",1
"('นาโยง', 'ตรัง')","('เมืองตรัง', 'ตรัง')",1
"('นาโยง', 'ตรัง')","('ย่านตาขาว', 'ตรัง')",1
"('นาโยง', 'ตรัง')","('ห้วยยอด', 'ตรัง')",1
"('นาโยง', 'ตรัง')","('ศรีบรรพต', 'พัทลุง')",1
"('นาโยง', 'ตรัง')","('ศรีนครินทร์', 'พัทลุง')",1
"('รัษฎา', 'ตรัง')","('ชะอวด', 'นครศรีธรรมราช')",1
"('รัษฎา', 'ตรัง')","('ทุ่งสง', 'นครศรีธรรมราช')",1
"('รัษฎา', 'ตรัง')","('บางขัน', 'นครศรีธรรมราช')",1
"('รัษฎา', 'ตรัง')","('จุฬาภรณ์', 'นครศรีธรรมราช')",1
"('รัษฎา', 'ตรัง')","('ห้วยยอด', 'ตรัง')",1
"('รัษฎา', 'ตรัง')","('ป่าพยอม', 'พัทลุง')",1
"('หาดสำราญ', 'ตรัง')","('กันตัง', 'ตรัง')",1
"('หาดสำราญ', 'ตรัง')","('ย่านตาขาว', 'ตรัง')",1
"('หาดสำราญ', 'ตรัง')","('ปะเหลียน', 'ตรัง')",1
