Amper1,Amper2,Adjacent
"('ควนขนุน', 'พัทลุง')","('ชะอวด', 'นครศรีธรรมราช')",1
"('ควนขนุน', 'พัทลุง')","('หัวไทร', 'นครศรีธรรมราช')",1
"('ควนขนุน', 'พัทลุง')","('กระแสสินธุ์', 'สงขลา')",1
"('ควนขนุน', 'พัทลุง')","('ระโนด', 'สงขลา')",1
"('ควนขนุน', 'พัทลุง')","('เมืองพัทลุง', 'พัทลุง')",1
"('ควนขนุน', 'พัทลุง')","('ศรีบรรพต', 'พัทลุง')",1
"('ควนขนุน', 'พัทลุง')","('ป่าพยอม', 'พัทลุง')",1
"('ควนขนุน', 'พัทลุง')","('ศรีนครินทร์', 'พัทลุง')",1
"('ตะโหมด', 'พัทลุง')","('ทุ่งหว้า', 'สตูล')",1
"('ตะโหมด', 'พัทลุง')","('ปะเหลียน', 'ตรัง')",1
"('ตะโหมด', 'พัทลุง')","('กงหรา', 'พัทลุง')",1
"('ตะโหมด', 'พัทลุง')","('เขาชัยสน', 'พัทลุง')",1
"('ตะโหมด', 'พัทลุง')","('ป่าบอน', 'พัทลุง')",1
"('ตะโหมด', 'พัทลุง')","('บางแก้ว', 'พัทลุง')",1
"('เมืองพัทลุง', 'พัทลุง')","('ควนขนุน', 'พัทลุง')",1
"('เมืองพัทลุง', 'พัทลุง')","('กระแสสินธุ์', 'สงขลา')",1
"('เมืองพัทลุง', 'พัทลุง')","('ระโนด', 'สงขลา')",1
"('เมืองพัทลุง', 'พัทลุง')","('กงหรา', 'พัทลุง')",1
"('เมืองพัทลุง', 'พัทลุง')","('เขาชัยสน', 'พัทลุง')",1
"('เมืองพัทลุง', 'พัทลุง')","('ศรีบรรพต', 'พัทลุง')",1
"('เมืองพัทลุง', 'พัทลุง')","('ศรีนครินทร์', 'พัทลุง')",1
"('กงหรา', 'พัทลุง')","('ย่านตาขาว', 'ตรัง')",1
"('กงหรา', 'พัทลุง')","('ปะเหลียน', 'ตรัง')",1
"('กงหรา', 'พัทลุง')","('ตะโหมด', 'พัทลุง')",1
"('กงหรา', 'พัทลุง')","('เมืองพัทลุง', 'พัทลุง')",1
"('กงหรา', 'พัทลุง')","('เขาชัยสน', 'พัทลุง')",1
"('กงหรา', 'พัทลุง')","('ศรีนครินทร์', 'พัทลุง')",1
"('เขาชัยสน', 'พัทลุง')","('กระแสสินธุ์', 'สงขลา')",1
"('เขาชัยสน', 'พัทลุง')","('ตะโหมด', 'พัทลุง')",1
"('เขาชัยสน', 'พัทลุง')","('เมืองพัทลุง', 'พัทลุง')",1
"('เขาชัยสน', 'พัทลุง')","('กงหรา', 'พัทลุง')",1
"('เขาชัยสน', 'พัทลุง')","('ปากพะยูน', 'พัทลุง')",1
"('เขาชัยสน', 'พัทลุง')","('ป่าบอน', 'พัทลุง')",1
"('เขาชัยสน', 'พัทลุง')","('บางแก้ว', 'พัทลุง')",1
"('ปากพะยูน', 'พัทลุง')","('สทิงพระ', 'สงขลา')",1
"('ปากพะยูน', 'พัทลุง')","('กระแสสินธุ์', 'สงขลา')",1
"('ปากพะยูน', 'พัทลุง')","('รัตภูมิ', 'สงขลา')",1
"('ปากพะยูน', 'พัทลุง')","('สิงหนคร', 'สงขลา')",1
"('ปากพะยูน', 'พัทลุง')","('ควนเนียง', 'สงขลา')",1
"('ปากพะยูน', 'พัทลุง')","('เขาชัยสน', 'พัทลุง')",1
"('ปากพะยูน', 'พัทลุง')","('ป่าบอน', 'พัทลุง')",1
"('ปากพะยูน', 'พัทลุง')","('บางแก้ว', 'พัทลุง')",1
"('ศรีบรรพต', 'พัทลุง')","('เมืองตรัง', 'ตรัง')",1
"('ศรีบรรพต', 'พัทลุง')","('ห้วยยอด', 'ตรัง')",1
"('ศรีบรรพต', 'พัทลุง')","('ควนขนุน', 'พัทลุง')",1
"('ศรีบรรพต', 'พัทลุง')","('นาโยง', 'ตรัง')",1
"('ศรีบรรพต', 'พัทลุง')","('เมืองพัทลุง', 'พัทลุง')",1
"('ศรีบรรพต', 'พัทลุง')","('ป่าพยอม', 'พัทลุง')",1
"('ศรีบรรพต', 'พัทลุง')","('ศรีนครินทร์', 'พัทลุง')",1
"('ป่าบอน', 'พัทลุง')","('ทุ่งหว้า', 'สตูล')",1
"('ป่าบอน', 'พัทลุง')","('มะนัง', 'สตูล')",1
"('ป่าบอน', 'พัทลุง')","('ปะเหลียน', 'ตรัง')",1
"('ป่าบอน', 'พัทลุง')","('รัตภูมิ', 'สงขลา')",1
"('ป่าบอน', 'พัทลุง')","('ตะโหมด', 'พัทลุง')",1
"('ป่าบอน', 'พัทลุง')","('ควนเนียง', 'สงขลา')",1
"('ป่าบอน', 'พัทลุง')","('ควนกาหลง', 'สตูล')",1
"('ป่าบอน', 'พัทลุง')","('เขาชัยสน', 'พัทลุง')",1
"('ป่าบอน', 'พัทลุง')","('ปากพะยูน', 'พัทลุง')",1
"('ป่าบอน', 'พัทลุง')","('บางแก้ว', 'พัทลุง')",1
"('บางแก้ว', 'พัทลุง')","('กระแสสินธุ์', 'สงขลา')",1
"('บางแก้ว', 'พัทลุง')","('ตะโหมด', 'พัทลุง')",1
"('บางแก้ว', 'พัทลุง')","('เขาชัยสน', 'พัทลุง')",1
"('บางแก้ว', 'พัทลุง')","('ปากพะยูน', 'พัทลุง')",1
"('บางแก้ว', 'พัทลุง')","('ป่าบอน', 'พัทลุง')",1
"('ป่าพยอม', 'พัทลุง')","('ชะอวด', 'นครศรีธรรมราช')",1
"('ป่าพยอม', 'พัทลุง')","('ทุ่งสง', 'นครศรีธรรมราช')",1
"('ป่าพยอม', 'พัทลุง')","('ห้วยยอด', 'ตรัง')",1
"('ป่าพยอม', 'พัทลุง')","('ควนขนุน', 'พัทลุง')",1
"('ป่าพยอม', 'พัทลุง')","('รัษฎา', 'ตรัง')",1
"('ป่าพยอม', 'พัทลุง')","('ศรีบรรพต', 'พัทลุง')",1
