Amper1,Amper2,Adjacent
"('ยี่งอ', 'นราธิวาส')","('ระแงะ', 'นราธิวาส')",1
"('ยี่งอ', 'นราธิวาส')","('รือเสาะ', 'นราธิวาส')",1
"('ยี่งอ', 'นราธิวาส')","('เมืองนราธิวาส', 'นราธิวาส')",1
"('ยี่งอ', 'นราธิวาส')","('บาเจาะ', 'นราธิวาส')",1
"('ระแงะ', 'นราธิวาส')","('ยี่งอ', 'นราธิวาส')",1
"('ระแงะ', 'นราธิวาส')","('รือเสาะ', 'นราธิวาส')",1
"('ระแงะ', 'นราธิวาส')","('ศรีสาคร', 'นราธิวาส')",1
"('ระแงะ', 'นราธิวาส')","('สุคิริน', 'นราธิวาส')",1
"('ระแงะ', 'นราธิวาส')","('สุไหงปาดี', 'นราธิวาส')",1
"('ระแงะ', 'นราธิวาส')","('จะแนะ', 'นราธิวาส')",1
"('ระแงะ', 'นราธิวาส')","('เมืองนราธิวาส', 'นราธิวาส')",1
"('ระแงะ', 'นราธิวาส')","('เจาะไอร้อง', 'นราธิวาส')",1
"('รือเสาะ', 'นราธิวาส')","('ยี่งอ', 'นราธิวาส')",1
"('รือเสาะ', 'นราธิวาส')","('ระแงะ', 'นราธิวาส')",1
"('รือเสาะ', 'นราธิวาส')","('ศรีสาคร', 'นราธิวาส')",1
"('รือเสาะ', 'นราธิวาส')","('บันนังสตา', 'ยะลา')",1
"('รือเสาะ', 'นราธิวาส')","('รามัน', 'ยะลา')",1
"('รือเสาะ', 'นราธิวาส')","('บาเจาะ', 'นราธิวาส')",1
"('ศรีสาคร', 'นราธิวาส')","('ระแงะ', 'นราธิวาส')",1
"('ศรีสาคร', 'นราธิวาส')","('รือเสาะ', 'นราธิวาส')",1
"('ศรีสาคร', 'นราธิวาส')","('จะแนะ', 'นราธิวาส')",1
"('ศรีสาคร', 'นราธิวาส')","('เบตง', 'ยะลา')",1
"('ศรีสาคร', 'นราธิวาส')","('บันนังสตา', 'ยะลา')",1
"('ศรีสาคร', 'นราธิวาส')","('ธารโต', 'ยะลา')",1
"('แว้ง', 'นราธิวาส')","('สุคิริน', 'นราธิวาส')",1
"('แว้ง', 'นราธิวาส')","('สุไหงโก-ลก', 'นราธิวาส')",1
"('แว้ง', 'นราธิวาส')","('สุไหงปาดี', 'นราธิวาส')",1
