Amper1,Amper2,Adjacent
"('สรรคบุรี', 'ชัยนาท')","('หันคา', 'ชัยนาท')",1
"('สรรคบุรี', 'ชัยนาท')","('บางระจัน', 'สิงห์บุรี')",1
"('สรรคบุรี', 'ชัยนาท')","('อินทร์บุรี', 'สิงห์บุรี')",1
"('สรรคบุรี', 'ชัยนาท')","('เมืองชัยนาท', 'ชัยนาท')",1
"('สรรคบุรี', 'ชัยนาท')","('สรรพยา', 'ชัยนาท')",1
"('สรรคบุรี', 'ชัยนาท')","('เดิมบางนางบวช', 'สุพรรณบุรี')",1
"('หันคา', 'ชัยนาท')","('สรรคบุรี', 'ชัยนาท')",1
"('หันคา', 'ชัยนาท')","('หนองมะโมง', 'ชัยนาท')",1
"('หันคา', 'ชัยนาท')","('เนินขาม', 'ชัยนาท')",1
"('หันคา', 'ชัยนาท')","('เมืองชัยนาท', 'ชัยนาท')",1
"('หันคา', 'ชัยนาท')","('วัดสิงห์', 'ชัยนาท')",1
"('หันคา', 'ชัยนาท')","('บ้านไร่', 'อุทัยธานี')",1
"('หันคา', 'ชัยนาท')","('เดิมบางนางบวช', 'สุพรรณบุรี')",1
"('หนองมะโมง', 'ชัยนาท')","('หันคา', 'ชัยนาท')",1
"('หนองมะโมง', 'ชัยนาท')","('เนินขาม', 'ชัยนาท')",1
"('หนองมะโมง', 'ชัยนาท')","('วัดสิงห์', 'ชัยนาท')",1
"('หนองมะโมง', 'ชัยนาท')","('หนองฉาง', 'อุทัยธานี')",1
"('หนองมะโมง', 'ชัยนาท')","('หนองขาหย่าง', 'อุทัยธานี')",1
"('หนองมะโมง', 'ชัยนาท')","('บ้านไร่', 'อุทัยธานี')",1
"('เนินขาม', 'ชัยนาท')","('หันคา', 'ชัยนาท')",1
"('เนินขาม', 'ชัยนาท')","('หนองมะโมง', 'ชัยนาท')",1
"('เนินขาม', 'ชัยนาท')","('วัดสิงห์', 'ชัยนาท')",1
"('เนินขาม', 'ชัยนาท')","('บ้านไร่', 'อุทัยธานี')",1
"('เนินขาม', 'ชัยนาท')","('เดิมบางนางบวช', 'สุพรรณบุรี')",1
"('เนินขาม', 'ชัยนาท')","('ด่านช้าง', 'สุพรรณบุรี')",1
"('เมืองชัยนาท', 'ชัยนาท')","('สรรคบุรี', 'ชัยนาท')",1
"('เมืองชัยนาท', 'ชัยนาท')","('หันคา', 'ชัยนาท')",1
"('เมืองชัยนาท', 'ชัยนาท')","('มโนรมย์', 'ชัยนาท')",1
"('เมืองชัยนาท', 'ชัยนาท')","('วัดสิงห์', 'ชัยนาท')",1
"('เมืองชัยนาท', 'ชัยนาท')","('สรรพยา', 'ชัยนาท')",1
"('เมืองชัยนาท', 'ชัยนาท')","('ตาคลี', 'นครสวรรค์')",1
"('เมืองชัยนาท', 'ชัยนาท')","('เมืองอุทัยธานี', 'อุทัยธานี')",1
"('เมืองชัยนาท', 'ชัยนาท')","('หนองขาหย่าง', 'อุทัยธานี')",1
"('มโนรมย์', 'ชัยนาท')","('เมืองชัยนาท', 'ชัยนาท')",1
"('มโนรมย์', 'ชัยนาท')","('วัดสิงห์', 'ชัยนาท')",1
"('มโนรมย์', 'ชัยนาท')","('สรรพยา', 'ชัยนาท')",1
"('มโนรมย์', 'ชัยนาท')","('ตาคลี', 'นครสวรรค์')",1
"('มโนรมย์', 'ชัยนาท')","('พยุหะคีรี', 'นครสวรรค์')",1
"('มโนรมย์', 'ชัยนาท')","('เมืองอุทัยธานี', 'อุทัยธานี')",1
"('มโนรมย์', 'ชัยนาท')","('หนองขาหย่าง', 'อุทัยธานี')",1
"('วัดสิงห์', 'ชัยนาท')","('หันคา', 'ชัยนาท')",1
"('วัดสิงห์', 'ชัยนาท')","('หนองมะโมง', 'ชัยนาท')",1
"('วัดสิงห์', 'ชัยนาท')","('เนินขาม', 'ชัยนาท')",1
"('วัดสิงห์', 'ชัยนาท')","('เมืองชัยนาท', 'ชัยนาท')",1
"('วัดสิงห์', 'ชัยนาท')","('มโนรมย์', 'ชัยนาท')",1
"('วัดสิงห์', 'ชัยนาท')","('เมืองอุทัยธานี', 'อุทัยธานี')",1
"('วัดสิงห์', 'ชัยนาท')","('หนองขาหย่าง', 'อุทัยธานี')",1
"('วัดสิงห์', 'ชัยนาท')","('บ้านไร่', 'อุทัยธานี')",1
"('สรรพยา', 'ชัยนาท')","('สรรคบุรี', 'ชัยนาท')",1
"('สรรพยา', 'ชัยนาท')","('อินทร์บุรี', 'สิงห์บุรี')",1
"('สรรพยา', 'ชัยนาท')","('เมืองชัยนาท', 'ชัยนาท')",1
"('สรรพยา', 'ชัยนาท')","('มโนรมย์', 'ชัยนาท')",1
"('สรรพยา', 'ชัยนาท')","('ตาคลี', 'นครสวรรค์')",1
