,Order,Name,Lat,Lon
0,0,Bangkok,13.765172,100.539168
1,1,Samut Prakan,13.6004,100.597082
2,2,Nonthaburi,13.862418,100.513394
3,3,Pathum Thani,14.019713,100.534642
4,4,Phra Nakhon Si Ayutthaya,14.35218,100.576606
5,5,Ang Thong,14.58925,100.453531
6,6,Lopburi,14.798049,100.653703
7,7,Sing Buri,14.888271,100.404694
8,8,Chai Nat,15.185477,100.123826
9,9,Saraburi,14.528138,100.909813
10,10,Chonburi,13.361869,100.979851
11,11,Rayong,12.668362,101.274347
12,12,Chanthaburi,12.610554,102.104639
13,13,Trat,12.231515,102.512533
14,14,Chachoengsao,13.688646,101.070801
15,15,Prachin Buri,14.050683,101.366395
16,16,Nakhon Nayok,14.203698,101.217262
17,17,Sa Kaeo,13.814681,102.071766
18,18,Nakhon Ratchasima,14.971228,102.099628
19,19,Buri Ram,14.994053,103.104373
20,20,Surin,14.882281,103.49231
21,21,Si Sa Ket,15.1208,104.32236
22,22,Ubon Ratchathani,15.228789,104.854242
23,23,Yasothon,15.794913,104.141068
24,24,Chaiyaphum,15.809781,102.020334
25,25,Amnat Charoen,15.858362,104.629293
26,26,Bueng Kan,18.358166,103.652915
27,27,Nong Bua Lamphu,17.204075,102.444483
28,28,Khon Kaen,16.43866,102.839213
29,29,Udon Thani,17.415351,102.786122
30,30,Loei,17.487928,101.719384
31,31,Nong Khai,17.880158,102.740268
32,32,Maha Sarakham,16.184124,103.301623
33,33,Roi Et,16.053174,103.654666
34,34,Kalasin,16.442973,103.534162
35,35,Sakon Nakhon,17.155748,104.133949
36,36,Nakhon Phanom,17.367223,104.76079
37,37,Mukdahan,16.538161,104.714848
38,38,Chiang Mai,18.836231,98.972098
39,39,Lamphun,18.578047,99.018393
40,40,Lampang,18.29186,99.504643
41,41,Uttaradit,17.625798,100.096848
42,42,Phrae,18.145434,100.141364
43,43,Nan,18.793656,100.729465
44,44,Phayao,19.191813,99.878545
45,45,Chiang Rai,19.928878,99.864427
46,46,Mae Hong Son,19.304085,97.977325
47,47,Nakhon Sawan,15.704878,100.137576
48,48,Uthai Thani,15.379402,100.024742
49,49,Kamphaeng Phet,16.485231,99.525001
50,50,Tak,16.881436,99.123664
51,51,Sukhothai,17.007915,99.823322
52,52,Phitsanulok,16.824614,100.259139
53,53,Phichit,16.438743,100.350315
54,54,Phetchabun,16.442986,101.149186
55,55,Ratchaburi,13.528887,99.812632
56,56,Kanchanaburi,14.003796,99.55001
57,57,Suphan Buri,14.474459,100.118438
58,58,Nakhon Pathom,13.819728,100.065885
59,59,Samut Sakhon,13.54836,100.273471
60,60,Samut Songkhram,13.413848,100.00335
61,61,Phetchaburi,13.111761,99.944119
62,62,Prachuap Khiri Khan,11.80865,99.796604
63,63,Nakhon Si Thammarat,8.481025,99.96731
64,64,Krabi,8.061763,98.918572
65,65,Phang Nga,8.439932,98.518266
66,66,Phuket,7.889595,98.385404
67,67,Surat Thani,9.136069,99.320274
68,68,Ranong,9.956735,98.637618
69,69,Chumphon,10.492785,99.179151
70,70,Songkhla,7.207599,100.596569
71,71,Satun,6.650286,100.085349
72,72,Trang,7.557946,99.609761
73,73,Phatthalung,7.61916,100.072972
74,74,Pattani,6.868793,101.250212
75,75,Yala,6.541713,101.281442
76,76,Narathiwat,6.425175,101.823515
