,pair,value
0,"('กรุงเทพมหานคร', 'กรุงเทพมหานคร')",1
1,"('กรุงเทพมหานคร', 'สมุทรปราการ')",1
2,"('กรุงเทพมหานคร', 'นนทบุรี')",1
3,"('กรุงเทพมหานคร', 'ปทุมธานี')",1
4,"('กรุงเทพมหานคร', 'ชลบุรี')",1
5,"('กรุงเทพมหานคร', 'ฉะเชิงเทรา')",1
6,"('กรุงเทพมหานคร', 'นครนายก')",1
7,"('กรุงเทพมหานคร', 'นครปฐม')",1
8,"('กรุงเทพมหานคร', 'สมุทรสาคร')",1
9,"('สมุทรปราการ', 'กรุงเทพมหานคร')",1
10,"('สมุทรปราการ', 'สมุทรปราการ')",1
11,"('สมุทรปราการ', 'ชลบุรี')",1
12,"('สมุทรปราการ', 'ฉะเชิงเทรา')",1
13,"('นนทบุรี', 'กรุงเทพมหานคร')",1
14,"('นนทบุรี', 'นนทบุรี')",1
15,"('นนทบุรี', 'ปทุมธานี')",1
16,"('นนทบุรี', 'พระนครศรีอยุธยา')",1
17,"('นนทบุรี', 'สุพรรณบุรี')",1
18,"('นนทบุรี', 'นครปฐม')",1
19,"('ปทุมธานี', 'กรุงเทพมหานคร')",1
20,"('ปทุมธานี', 'นนทบุรี')",1
21,"('ปทุมธานี', 'ปทุมธานี')",1
22,"('ปทุมธานี', 'พระนครศรีอยุธยา')",1
23,"('ปทุมธานี', 'สระบุรี')",1
24,"('ปทุมธานี', 'ฉะเชิงเทรา')",1
25,"('ปทุมธานี', 'นครนายก')",1
26,"('ปทุมธานี', 'นครปฐม')",1
27,"('พระนครศรีอยุธยา', 'นนทบุรี')",1
28,"('พระนครศรีอยุธยา', 'ปทุมธานี')",1
29,"('พระนครศรีอยุธยา', 'พระนครศรีอยุธยา')",1
30,"('พระนครศรีอยุธยา', 'อ่างทอง')",1
31,"('พระนครศรีอยุธยา', 'ลพบุรี')",1
32,"('พระนครศรีอยุธยา', 'สระบุรี')",1
33,"('พระนครศรีอยุธยา', 'สุพรรณบุรี')",1
34,"('พระนครศรีอยุธยา', 'นครปฐม')",1
35,"('อ่างทอง', 'พระนครศรีอยุธยา')",1
36,"('อ่างทอง', 'อ่างทอง')",1
37,"('อ่างทอง', 'ลพบุรี')",1
38,"('อ่างทอง', 'สิงห์บุรี')",1
39,"('อ่างทอง', 'สุพรรณบุรี')",1
40,"('ลพบุรี', 'พระนครศรีอยุธยา')",1
41,"('ลพบุรี', 'อ่างทอง')",1
42,"('ลพบุรี', 'ลพบุรี')",1
43,"('ลพบุรี', 'สิงห์บุรี')",1
44,"('ลพบุรี', 'สระบุรี')",1
45,"('ลพบุรี', 'นครราชสีมา')",1
46,"('ลพบุรี', 'ชัยภูมิ')",1
47,"('ลพบุรี', 'นครสวรรค์')",1
48,"('ลพบุรี', 'เพชรบูรณ์')",1
49,"('สิงห์บุรี', 'อ่างทอง')",1
50,"('สิงห์บุรี', 'ลพบุรี')",1
51,"('สิงห์บุรี', 'สิงห์บุรี')",1
52,"('สิงห์บุรี', 'ชัยนาท')",1
53,"('สิงห์บุรี', 'นครสวรรค์')",1
54,"('สิงห์บุรี', 'สุพรรณบุรี')",1
55,"('ชัยนาท', 'สิงห์บุรี')",1
56,"('ชัยนาท', 'ชัยนาท')",1
57,"('ชัยนาท', 'นครสวรรค์')",1
58,"('ชัยนาท', 'อุทัยธานี')",1
59,"('ชัยนาท', 'กาญจนบุรี')",1
60,"('ชัยนาท', 'สุพรรณบุรี')",1
61,"('สระบุรี', 'ปทุมธานี')",1
62,"('สระบุรี', 'พระนครศรีอยุธยา')",1
63,"('สระบุรี', 'ลพบุรี')",1
64,"('สระบุรี', 'สระบุรี')",1
