,index,district,eigenvector
0,0,"('Phra Nakhon', 'Bangkok')",0.23373124185646987
1,1,"('Dusit', 'Bangkok')",0.24013746605172864
2,2,"('Nong Chok', 'Bangkok')",0.0024174321886965945
3,3,"('Bang Rak', 'Bangkok')",0.229885022650082
4,4,"('Bang Khen', 'Bangkok')",0.01921454991482153
5,5,"('Bang Kapi', 'Bangkok')",0.062339230338948545
6,6,"('Pathum Wan', 'Bangkok')",0.25367314375327094
7,7,"('Pom Prap Sattruphai', 'Bangkok')",0.2114933172804213
8,8,"('Phra Khanong', 'Bangkok')",0.04996297408801386
9,9,"('Min Buri', 'Bangkok')",0.009713524899346047
10,10,"('Lat Krabang', 'Bangkok')",0.008350130011000649
11,11,"('Yannawa', 'Bangkok')",0.19769959770662954
12,12,"('Samphanthawong', 'Bangkok')",0.2328428021215192
13,13,"('Phaya Thai', 'Bangkok')",0.16846507118546286
14,14,"('Thon Buri', 'Bangkok')",0.25026244224517735
15,15,"('Bangkok Yai', 'Bangkok')",0.17917246787469474
16,16,"('Huai Khwang', 'Bangkok')",0.14189110138702724
17,17,"('Khlong San', 'Bangkok')",0.22757927333856354
18,18,"('Taling Chan', 'Bangkok')",0.1021682113327665
19,19,"('Bangkok Noi', 'Bangkok')",0.17143764404090556
20,20,"('Bang Khun Thian', 'Bangkok')",0.07154280123964182
21,21,"('Phasi Charoen', 'Bangkok')",0.12443314086817304
22,22,"('Nong Khaem', 'Bangkok')",0.01677851221117615
23,23,"('Rat Burana', 'Bangkok')",0.11665261019943175
24,24,"('Bang Phlat', 'Bangkok')",0.19296289162757868
25,25,"('Din Daeng', 'Bangkok')",0.13220626861942147
26,26,"('Bung Kum', 'Bangkok')",0.026643123034769976
27,27,"('Sa Thon', 'Bangkok')",0.2317333547619274
28,28,"('Bang Su', 'Bangkok')",0.09557332785495214
29,29,"('Chatuchak', 'Bangkok')",0.09166733658159998
30,30,"('Bang Kho Laem', 'Bangkok')",0.19887388617509216
31,31,"('Prawet', 'Bangkok')",0.026111640686424267
32,32,"('Khlong Toei', 'Bangkok')",0.17254595789260732
33,33,"('Suan Luang', 'Bangkok')",0.06655264822645718
34,34,"('Chom Thong', 'Bangkok')",0.1255125338573065
35,35,"('Don Mueang', 'Bangkok')",0.01192868683346925
36,36,"('Rat Thewi', 'Bangkok')",0.19232662961865915
37,37,"('Lat Phrao', 'Bangkok')",0.041385462491233496
38,38,"('Watthana', 'Bangkok')",0.1811300085403644
39,39,"('Bang Khae', 'Bangkok')",0.03924386474523475
40,40,"('Lak Si', 'Bangkok')",0.02625412341770961
41,41,"('Sai Mai', 'Bangkok')",0.013122827312686148
42,42,"('Khanna Yao', 'Bangkok')",0.019357493694542503
43,43,"('Saphan Sung', 'Bangkok')",0.017614315336320265
44,44,"('Wang Thong Lang', 'Bangkok')",0.06776991169443208
45,45,"('Khlong Sam Wa', 'Bangkok')",0.008528315292558887
46,46,"('Bang Na', 'Bangkok')",0.03804134684210776
47,47,"('Thawi Watthana', 'Bangkok')",0.03877520000070591
48,48,"('Thung Khu', 'Bangkok')",0.06332594779383531
49,49,"('Bang Bon', 'Bangkok')",0.045872749198619965
50,50,"('Mueang Samut Prakan', 'Samut Prakan')",0.03758376229157465
51,51,"('Bang Bo', 'Samut Prakan')",0.005384839549747495
52,52,"('Bang Phli', 'Samut Prakan')",0.02235488476565673
53,53,"('Phra Pradaeng', 'Samut Prakan')",0.16480920001163205
54,54,"('Phra Samut Chedi', 'Samut Prakan')",0.023761036112586665
55,55,"('Bang Sao Thong', 'Samut Prakan')",0.005310025327124967
56,56,"('Mueang Nonthaburi', 'Nonthaburi')",0.08020641805950712
57,57,"('Bang Kruai', 'Nonthaburi')",0.11127917501064905
58,58,"('Bang Yai', 'Nonthaburi')",0.02865734608932823
59,59,"('Bang Bua Thong', 'Nonthaburi')",0.011025631460609376
60,60,"('Sai Noi', 'Nonthaburi')",0.00475945390300931
61,61,"('Pak Kret', 'Nonthaburi')",0.019495003608953555
62,62,"('Mueang Pathum Thani', 'Pathum Thani')",0.004700975030937748
63,63,"('khlong Luang', 'Pathum Thani')",0.0009588492788790799
64,64,"('Thanyaburi', 'Pathum Thani')",0.00171815700214704
65,65,"('Nong Suea', 'Pathum Thani')",0.0005949782163544051
66,66,"('Lat Lum Kaeo', 'Pathum Thani')",0.00300687026523887
67,67,"('Lam Luk Ka', 'Pathum Thani')",0.00455742937496914
68,68,"('Sam Khok', 'Pathum Thani')",0.000874910110334332
69,69,"('Phra Nakhon Si Ayutthaya', 'Phra Nakhon Si Ayutthaya')",8.698008571745352e-05
70,70,"('Tha Ruea', 'Phra Nakhon Si Ayutthaya')",1.216492969920473e-05
71,71,"('Nakhon Luang', 'Phra Nakhon Si Ayutthaya')",1.838555301404476e-05
72,81,"('Bang Sai', 'Phra Nakhon Si Ayutthaya')",2.5064376203123927e-26
73,73,"('Bang Ban', 'Phra Nakhon Si Ayutthaya')",9.94311389853663e-05
74,74,"('Bang Pa-in', 'Phra Nakhon Si Ayutthaya')",0.00021192957898636614
75,75,"('Bang Pahan', 'Phra Nakhon Si Ayutthaya')",2.6604394506078438e-05
76,76,"('Phak Hai', 'Phra Nakhon Si Ayutthaya')",9.739271194258981e-05
77,77,"('Phachi', 'Phra Nakhon Si Ayutthaya')",2.010777287785891e-05
78,78,"('Lat Bua Luang', 'Phra Nakhon Si Ayutthaya')",0.0010087197302875153
79,79,"('Wang Noi', 'Phra Nakhon Si Ayutthaya')",0.0001339314162551965
80,80,"('Sena', 'Phra Nakhon Si Ayutthaya')",0.00015506596283872972
81,81,"('Bang Sai', 'Phra Nakhon Si Ayutthaya')",0.0007918735906547052
82,82,"('Uthai', 'Phra Nakhon Si Ayutthaya')",4.3364671772002426e-05
83,83,"('Maha Rat', 'Phra Nakhon Si Ayutthaya')",1.389506871103218e-05
84,84,"('Ban Phraek', 'Phra Nakhon Si Ayutthaya')",8.968240760799228e-06
85,85,"('Mueang Ang Thong', 'Ang Thong')",1.7992715126090326e-05
86,86,"('Chaiyo', 'Ang Thong')",9.49361481544895e-06
87,87,"('Pa Mok', 'Ang Thong')",2.0965479499827793e-05
88,88,"('Pho Thong', 'Ang Thong')",8.939689515762478e-06
89,89,"('Sawaeng Ha', 'Ang Thong')",3.7853533183886882e-06
90,90,"('Wiset Chai Chan', 'Ang Thong')",1.8599906646453002e-05
91,91,"('Samko', 'Ang Thong')",8.121188664220386e-06
92,92,"('Mueang Lop Buri', 'Lopburi')",1.1608119961724156e-05
