,index,district,eigenvector
0,0,"('Phra Nakhon', 'Bangkok')",0.25741544821270046
1,1,"('Dusit', 'Bangkok')",0.2807253998091045
2,2,"('Nong Chok', 'Bangkok')",6.600014881851826e-05
3,3,"('Bang Rak', 'Bangkok')",0.31151302464303493
4,4,"('Bang Khen', 'Bangkok')",0.004895512836314834
5,5,"('Bang Kapi', 'Bangkok')",0.021323054903593243
6,6,"('Pathum Wan', 'Bangkok')",0.3429234543944411
7,7,"('Pom Prap Sattruphai', 'Bangkok')",0.3078916710072389
8,8,"('Phra Khanong', 'Bangkok')",0.02779388374567315
9,9,"('Min Buri', 'Bangkok')",0.0014159138203064605
10,10,"('Lat Krabang', 'Bangkok')",0.0005255971165628809
11,11,"('Yannawa', 'Bangkok')",0.1607508980044467
12,12,"('Samphanthawong', 'Bangkok')",0.333521882180152
13,13,"('Phaya Thai', 'Bangkok')",0.18126449104578168
14,14,"('Thon Buri', 'Bangkok')",0.22580664785746937
15,15,"('Bangkok Yai', 'Bangkok')",0.15698449131740588
16,16,"('Huai Khwang', 'Bangkok')",0.09452762035264721
17,17,"('Khlong San', 'Bangkok')",0.2427303896060858
18,18,"('Taling Chan', 'Bangkok')",0.06103086076346294
19,19,"('Bangkok Noi', 'Bangkok')",0.10450769152842411
20,20,"('Bang Khun Thian', 'Bangkok')",0.02332422112651045
21,21,"('Phasi Charoen', 'Bangkok')",0.05712960133047862
22,22,"('Nong Khaem', 'Bangkok')",0.0020221100354028184
23,23,"('Rat Burana', 'Bangkok')",0.06632651990596673
24,24,"('Bang Phlat', 'Bangkok')",0.1204689801774361
25,25,"('Din Daeng', 'Bangkok')",0.12770851657453752
26,26,"('Bung Kum', 'Bangkok')",0.008890174428959249
27,27,"('Sa Thon', 'Bangkok')",0.2148100715373958
28,28,"('Bang Su', 'Bangkok')",0.06795079711738292
29,29,"('Chatuchak', 'Bangkok')",0.05023672846634807
30,30,"('Bang Kho Laem', 'Bangkok')",0.14687260822206621
31,31,"('Prawet', 'Bangkok')",0.004818180003236373
32,32,"('Khlong Toei', 'Bangkok')",0.10950711076890725
33,33,"('Suan Luang', 'Bangkok')",0.019582289110941054
34,34,"('Chom Thong', 'Bangkok')",0.07280279418603294
35,35,"('Don Mueang', 'Bangkok')",0.0023044349090976463
36,36,"('Rat Thewi', 'Bangkok')",0.24758090547090714
37,37,"('Lat Phrao', 'Bangkok')",0.017239204083667654
38,38,"('Watthana', 'Bangkok')",0.10385336383042822
39,39,"('Bang Khae', 'Bangkok')",0.014778740686887172
40,40,"('Lak Si', 'Bangkok')",0.007178525046343988
41,41,"('Sai Mai', 'Bangkok')",0.001950773245332098
42,42,"('Khanna Yao', 'Bangkok')",0.0046334984874607235
43,43,"('Saphan Sung', 'Bangkok')",0.0036056640278472004
