,index,district,degree
0,1,"('Phra Nakhon', 'Bangkok')",0.018338727076591153
1,2,"('Dusit', 'Bangkok')",0.020496224379719524
2,3,"('Bang Rak', 'Bangkok')",0.017259978425026967
3,4,"('Phaya Thai', 'Bangkok')",0.015102481121898596
4,5,"('Ban Na', 'Nakhon Nayok')",0.006472491909385113
5,6,"('Ongkharak', 'Nakhon Nayok')",0.010787486515641855
6,7,"('Nong Chok', 'Bangkok')",0.007551240560949298
7,8,"('Khlong Toei', 'Bangkok')",0.017259978425026967
8,9,"('Bang Khen', 'Bangkok')",0.01186623516720604
9,10,"('Phra Khanong', 'Bangkok')",0.008629989212513484
10,11,"('Bang Kapi', 'Bangkok')",0.01402373247033441
11,12,"('Pathum Wan', 'Bangkok')",0.019417475728155338
12,13,"('Pom Prap Sattruphai', 'Bangkok')",0.015102481121898596
13,14,"('Min Buri', 'Bangkok')",0.007551240560949298
14,15,"('Samphanthawong', 'Bangkok')",0.017259978425026967
15,16,"('Lat Krabang', 'Bangkok')",0.010787486515641855
16,17,"('Yannawa', 'Bangkok')",0.016181229773462782
17,18,"('Thon Buri', 'Bangkok')",0.02157497303128371
18,19,"('Bangkok Yai', 'Bangkok')",0.01402373247033441
19,20,"('Huai Khwang', 'Bangkok')",0.016181229773462782
20,21,"('Khlong San', 'Bangkok')",0.017259978425026967
21,22,"('Taling Chan', 'Bangkok')",0.01186623516720604
22,23,"('Bangkok Noi', 'Bangkok')",0.01402373247033441
23,24,"('Bang Khun Thian', 'Bangkok')",0.01186623516720604
24,25,"('Phasi Charoen', 'Bangkok')",0.01402373247033441
25,26,"('Nong Khaem', 'Bangkok')",0.007551240560949298
26,27,"('Don Mueang', 'Bangkok')",0.008629989212513484
27,28,"('Rat Burana', 'Bangkok')",0.010787486515641855
28,29,"('Bang Phlat', 'Bangkok')",0.017259978425026967
29,30,"('Din Daeng', 'Bangkok')",0.012944983818770225
30,31,"('Bung Kum', 'Bangkok')",0.008629989212513484
31,32,"('Sa Thon', 'Bangkok')",0.018338727076591153
32,33,"('Bang Su', 'Bangkok')",0.010787486515641855
33,34,"('Chatuchak', 'Bangkok')",0.015102481121898596
34,35,"('Bang Kho Laem', 'Bangkok')",0.017259978425026967
35,36,"('Prawet', 'Bangkok')",0.009708737864077669
36,37,"('Suan Luang', 'Bangkok')",0.01186623516720604
37,38,"('Chom Thong', 'Bangkok')",0.012944983818770225
38,39,"('Rat Thewi', 'Bangkok')",0.015102481121898596
39,40,"('Lat Phrao', 'Bangkok')",0.009708737864077669
40,41,"('Watthana', 'Bangkok')",0.017259978425026967
41,42,"('Bang Khae', 'Bangkok')",0.009708737864077669
42,43,"('Lak Si', 'Bangkok')",0.008629989212513484
43,44,"('Sai Mai', 'Bangkok')",0.008629989212513484
44,45,"('Khanna Yao', 'Bangkok')",0.010787486515641855
45,46,"('Saphan Sung', 'Bangkok')",0.009708737864077669
46,47,"('Wang Thong Lang', 'Bangkok')",0.01186623516720604
47,48,"('Khlong Sam Wa', 'Bangkok')",0.009708737864077669
48,49,"('Bang Na', 'Bangkok')",0.007551240560949298
49,50,"('Thawi Watthana', 'Bangkok')",0.010787486515641855
50,51,"('Thung Khu', 'Bangkok')",0.007551240560949298
51,52,"('Nong Suea', 'Pathum Thani')",0.008629989212513484
52,53,"('Bang Bon', 'Bangkok')",0.008629989212513484
53,54,"('Mueang Samut Prakan', 'Samut Prakan')",0.009708737864077669
54,55,"('Bang Bo', 'Samut Prakan')",0.007551240560949298
55,56,"('Bang Phli', 'Samut Prakan')",0.010787486515641855
56,57,"('Phra Pradaeng', 'Samut Prakan')",0.017259978425026967
57,58,"('Phra Samut Chedi', 'Samut Prakan')",0.004314994606256742
58,59,"('Bang Sao Thong', 'Samut Prakan')",0.005393743257820927
59,60,"('Bang Pahan', 'Phra Nakhon Si Ayutthaya')",0.010787486515641855
60,61,"('Phak Hai', 'Phra Nakhon Si Ayutthaya')",0.008629989212513484
61,62,"('Phachi', 'Phra Nakhon Si Ayutthaya')",0.007551240560949298
62,63,"('Lat Bua Luang', 'Phra Nakhon Si Ayutthaya')",0.009708737864077669
63,64,"('Wang Noi', 'Phra Nakhon Si Ayutthaya')",0.005393743257820927
64,65,"('Sena', 'Phra Nakhon Si Ayutthaya')",0.006472491909385113
65,66,"('Bang Sai', 'Phra Nakhon Si Ayutthaya')",0.006472491909385113
