,index,district,eigenvector
0,1,"('Phra Nakhon', 'Bangkok')",0.23373151780239934
1,2,"('Dusit', 'Bangkok')",0.2401375562530287
2,3,"('Bang Rak', 'Bangkok')",0.2298855129705062
3,4,"('Phaya Thai', 'Bangkok')",0.16846498774492982
4,5,"('Ban Na', 'Nakhon Nayok')",0.00011688564811880808
5,6,"('Ongkharak', 'Nakhon Nayok')",0.0007437301895296167
6,7,"('Nong Chok', 'Bangkok')",0.002416879033915226
7,8,"('Khlong Toei', 'Bangkok')",0.17254628730526556
8,9,"('Bang Khen', 'Bangkok')",0.01921339664878798
9,10,"('Phra Khanong', 'Bangkok')",0.049963091596141124
10,11,"('Bang Kapi', 'Bangkok')",0.062339108639629874
11,12,"('Pathum Wan', 'Bangkok')",0.2536736213393834
12,13,"('Pom Prap Sattruphai', 'Bangkok')",0.2114936903519827
13,14,"('Min Buri', 'Bangkok')",0.009713260328849489
14,15,"('Samphanthawong', 'Bangkok')",0.23284323984033142
15,16,"('Lat Krabang', 'Bangkok')",0.008349944617794779
16,17,"('Yannawa', 'Bangkok')",0.19770010958028922
17,18,"('Thon Buri', 'Bangkok')",0.2502629123068365
18,19,"('Bangkok Yai', 'Bangkok')",0.17917274587575693
19,20,"('Huai Khwang', 'Bangkok')",0.14189115586105724
20,21,"('Khlong San', 'Bangkok')",0.2275797874871871
21,22,"('Taling Chan', 'Bangkok')",0.1021677247431626
22,23,"('Bangkok Noi', 'Bangkok')",0.1714377664747578
23,24,"('Bang Khun Thian', 'Bangkok')",0.07154292266941191
24,25,"('Phasi Charoen', 'Bangkok')",0.12443320503541712
25,26,"('Nong Khaem', 'Bangkok')",0.016778272798798073
26,27,"('Don Mueang', 'Bangkok')",0.01192664021089013
27,28,"('Rat Burana', 'Bangkok')",0.11665293553659395
28,29,"('Bang Phlat', 'Bangkok')",0.19296281603108595
29,30,"('Din Daeng', 'Bangkok')",0.13220630935735234
30,31,"('Bung Kum', 'Bangkok')",0.026642888972281474
31,32,"('Sa Thon', 'Bangkok')",0.2317339002815049
32,33,"('Bang Su', 'Bangkok')",0.09557302197326788
33,34,"('Chatuchak', 'Bangkok')",0.09166659381512374
34,35,"('Bang Kho Laem', 'Bangkok')",0.1988743980321376
35,36,"('Prawet', 'Bangkok')",0.02611162416358938
36,37,"('Suan Luang', 'Bangkok')",0.06655273045275971
37,38,"('Chom Thong', 'Bangkok')",0.12551281853131466
38,39,"('Rat Thewi', 'Bangkok')",0.19232683837100084
39,40,"('Lat Phrao', 'Bangkok')",0.04138517159244797
40,41,"('Watthana', 'Bangkok')",0.18113032368181847
41,42,"('Bang Khae', 'Bangkok')",0.03924362578953529
42,43,"('Lak Si', 'Bangkok')",0.02625325199931955
43,44,"('Sai Mai', 'Bangkok')",0.013121431801578426
44,45,"('Khanna Yao', 'Bangkok')",0.019357119298205747
45,46,"('Saphan Sung', 'Bangkok')",0.017614161257887635
46,47,"('Wang Thong Lang', 'Bangkok')",0.06776982773168515
47,48,"('Khlong Sam Wa', 'Bangkok')",0.008527650831993474
48,49,"('Bang Na', 'Bangkok')",0.038041439244965974
49,50,"('Thawi Watthana', 'Bangkok')",0.038774210930948246
50,51,"('Thung Khu', 'Bangkok')",0.06332615073242238
51,52,"('Nong Suea', 'Pathum Thani')",0.0005912014865937834
52,53,"('Bang Bon', 'Bangkok')",0.0458727407787349
53,54,"('Mueang Samut Prakan', 'Samut Prakan')",0.03758386606548096
54,55,"('Bang Bo', 'Samut Prakan')",0.005384813829518054
55,56,"('Bang Phli', 'Samut Prakan')",0.02235487155268588
56,57,"('Phra Pradaeng', 'Samut Prakan')",0.16480965472968995
57,58,"('Phra Samut Chedi', 'Samut Prakan')",0.023761114713361602
58,59,"('Bang Sao Thong', 'Samut Prakan')",0.005310003825315552
59,60,"('Bang Pahan', 'Phra Nakhon Si Ayutthaya')",1.9898461475154342e-05
60,61,"('Phak Hai', 'Phra Nakhon Si Ayutthaya')",6.36317186003544e-05
61,62,"('Phachi', 'Phra Nakhon Si Ayutthaya')",1.668979590521126e-05
62,63,"('Lat Bua Luang', 'Phra Nakhon Si Ayutthaya')",0.0010002381265354263
63,64,"('Wang Noi', 'Phra Nakhon Si Ayutthaya')",0.0001282590644603529
64,65,"('Sena', 'Phra Nakhon Si Ayutthaya')",0.00015120039842090005
65,66,"('Bang Sai', 'Phra Nakhon Si Ayutthaya')",0.00041113189674640176
66,67,"('Mueang Nonthaburi', 'Nonthaburi')",0.0802050072973814
67,68,"('Pa Mok', 'Ang Thong')",1.4873815998239627e-05
68,69,"('Pho Thong', 'Ang Thong')",7.849511404316287e-06
69,70,"('Sawaeng Ha', 'Ang Thong')",3.4828229033330666e-06
70,71,"('Wiset Chai Chan', 'Ang Thong')",1.4448255712481022e-05
71,72,"('Samko', 'Ang Thong')",7.015500843326026e-06
72,73,"('Mueang Lop Buri', 'Lopburi')",1.0494206969525607e-05
73,74,"('Phatthana Nikhom', 'Lopburi')",7.501820712827936e-06
74,75,"('Khok Samrong', 'Lopburi')",2.772792658309389e-06
75,76,"('Bang Kruai', 'Nonthaburi')",0.11127827496736989
76,77,"('Chai Badan', 'Lopburi')",2.790294734015073e-06
77,78,"('Tha Wung', 'Lopburi')",5.838827607060938e-06
78,79,"('Bang Yai', 'Nonthaburi')",0.028653310467538926
79,80,"('Nong Muang', 'Lopburi')",1.224609753701976e-06
80,81,"('Bang Bua Thong', 'Nonthaburi')",0.011021449752296547
81,82,"('Khai Bang Rachan', 'Sing Buri')",3.800153113426747e-06
82,83,"('Phrom Buri', 'Sing Buri')",4.868427447839017e-06
83,84,"('Sai Noi', 'Nonthaburi')",0.0047532516791780844
84,85,"('Sankhaburi', 'Chai Nat')",1.3903054948633964e-06
85,86,"('Hankha', 'Chai Nat')",1.415471932110095e-06
86,87,"('Nong Mamong', 'Chai Nat')",8.706568841327688e-07
87,88,"('Noen Kham', 'Chai Nat')",1.372641941022549e-06
88,89,"('Pak Kret', 'Nonthaburi')",0.01949115987718531
89,90,"('Mueang Saraburi', 'Saraburi')",1.8714608832548837e-05
90,91,"('Kaeng Khoi', 'Saraburi')",3.462573193968994e-05
91,92,"('Nong Khae', 'Saraburi')",7.67647980521615e-05
92,93,"('Mueang Pathum Thani', 'Pathum Thani')",0.004692540791329548
93,94,"('khlong Luang', 'Pathum Thani')",0.000926808793857662
94,95,"('Thanyaburi', 'Pathum Thani')",0.0017120099173828806
95,96,"('Chaloem Phra Kiet', 'Saraburi')",6.341257127047927e-06
96,97,"('Lat Lum Kaeo', 'Pathum Thani')",0.0029771168909630908
97,98,"('Lam Luk Ka', 'Pathum Thani')",0.004553210824564762
98,99,"('Sam Khok', 'Pathum Thani')",0.0008412391896387614
99,100,"('Phra Nakhon Si Ayutthaya', 'Phra Nakhon Si Ayutthaya')",5.5504307313082895e-05
100,101,"('Tha Ruea', 'Phra Nakhon Si Ayutthaya')",1.05099931092171e-05
101,102,"('Nakhon Luang', 'Phra Nakhon Si Ayutthaya')",1.4378827841303261e-05
102,103,"('Bang Sai', 'Phra Nakhon Si Ayutthaya')",0.0004375935217542925
103,104,"('Bang Ban', 'Phra Nakhon Si Ayutthaya')",6.596575799292451e-05
104,105,"('Bang Pa-in', 'Phra Nakhon Si Ayutthaya')",0.00017666835360474295
105,106,"('Uthai', 'Phra Nakhon Si Ayutthaya')",3.6931750023885226e-05
106,107,"('Maha Rat', 'Phra Nakhon Si Ayutthaya')",1.1700061531147888e-05
107,108,"('Ban Phraek', 'Phra Nakhon Si Ayutthaya')",7.971094131023845e-06
108,109,"('Mueang Ang Thong', 'Ang Thong')",1.3800183394547283e-05
109,110,"('Chaiyo', 'Ang Thong')",8.334161442732077e-06
110,111,"('Ban Mi', 'Lopburi')",3.176507029715531e-06
