,index,district,eigenvector
0,1,"('Phra Nakhon', 'Bangkok')",0.2574154482228443
1,2,"('Dusit', 'Bangkok')",0.2807253996099475
2,3,"('Bang Rak', 'Bangkok')",0.31151302482114024
3,4,"('Phaya Thai', 'Bangkok')",0.18126449077456755
4,5,"('Ban Na', 'Nakhon Nayok')",1.727401399268726e-07
5,6,"('Ongkharak', 'Nakhon Nayok')",4.3007626370671564e-06
6,7,"('Nong Chok', 'Bangkok')",6.60000935528105e-05
7,8,"('Khlong Toei', 'Bangkok')",0.1095071107505336
8,9,"('Bang Khen', 'Bangkok')",0.004895512289272594
9,10,"('Phra Khanong', 'Bangkok')",0.027793883727962
10,11,"('Bang Kapi', 'Bangkok')",0.021323054662604618
11,12,"('Pathum Wan', 'Bangkok')",0.3429234544546067
12,13,"('Pom Prap Sattruphai', 'Bangkok')",0.3078916710433104
13,14,"('Min Buri', 'Bangkok')",0.001415913703833318
14,15,"('Samphanthawong', 'Bangkok')",0.3335218823493628
15,16,"('Lat Krabang', 'Bangkok')",0.0005255970750190392
16,17,"('Yannawa', 'Bangkok')",0.1607508981660365
17,18,"('Thon Buri', 'Bangkok')",0.2258066480116998
18,19,"('Bangkok Yai', 'Bangkok')",0.1569844914062263
19,20,"('Huai Khwang', 'Bangkok')",0.09452762008316495
20,21,"('Khlong San', 'Bangkok')",0.24273038978134348
21,22,"('Taling Chan', 'Bangkok')",0.06103086065746983
22,23,"('Bangkok Noi', 'Bangkok')",0.10450769146557035
23,24,"('Bang Khun Thian', 'Bangkok')",0.023324221160292955
24,25,"('Phasi Charoen', 'Bangkok')",0.05712960135604116
25,26,"('Nong Khaem', 'Bangkok')",0.0020221100156957088
26,27,"('Don Mueang', 'Bangkok')",0.0023044342554501417
27,28,"('Rat Burana', 'Bangkok')",0.06632652001115596
28,29,"('Bang Phlat', 'Bangkok')",0.1204689800130959
29,30,"('Din Daeng', 'Bangkok')",0.12770851632052302
30,31,"('Bung Kum', 'Bangkok')",0.008890174208197654
31,32,"('Sa Thon', 'Bangkok')",0.21481007173440084
32,33,"('Bang Su', 'Bangkok')",0.06795079678992333
33,34,"('Chatuchak', 'Bangkok')",0.05023672800224789
34,35,"('Bang Kho Laem', 'Bangkok')",0.14687260839015445
35,36,"('Prawet', 'Bangkok')",0.004818179951812355
36,37,"('Suan Luang', 'Bangkok')",0.019582289016163504
37,38,"('Chom Thong', 'Bangkok')",0.0728027942748244
38,39,"('Rat Thewi', 'Bangkok')",0.2475809053476117
39,40,"('Lat Phrao', 'Bangkok')",0.017239203818565946
40,41,"('Watthana', 'Bangkok')",0.10385336372107855
41,42,"('Bang Khae', 'Bangkok')",0.014778740684153595
42,43,"('Lak Si', 'Bangkok')",0.0071785244199609865
43,44,"('Sai Mai', 'Bangkok')",0.0019507728786348352
44,45,"('Khanna Yao', 'Bangkok')",0.004633498262375632
